time,service_id,service_type,request_rate,base_response_time,dependency_count
20,1,reliability,20.711,60.7184,2
20,2,cost,26.1981,74.7137,3
21,0,latency,16.3493,35.6225,1
21,1,reliability,19.5457,56.1468,2
21,2,cost,24.6245,71.2466,3
22,0,latency,15.3053,37.5556,1
22,1,reliability,18.3767,55.9688,2
22,2,cost,24.5604,75.6763,3
23,0,latency,15.9994,43.8277,1
23,1,reliability,19.3628,56.0209,2
23,2,cost,21.9548,74.5354,3
24,0,latency,13.3496,37.1693,1
24,1,reliability,18.0103,57.7184,2
24,2,cost,23.8528,74.3141,3
25,0,latency,13.4711,35.9287,1
25,1,reliability,16.629,57.0274,2
25,2,cost,22.2965,77.5359,3
26,0,latency,13.3071,39.9655,1
26,1,reliability,17.0472,55.6301,2
26,2,cost,20.9183,72.5495,3
27,0,latency,14.5241,36.3572,1
27,1,reliability,17.6133,56.1941,2
27,2,cost,21.8089,74.7699,3
28,0,latency,12.3347,37.9185,1
28,1,reliability,15.9412,58.8921,2
28,2,cost,20.106,71.5488,3
29,0,latency,11.1027,38.3452,1
29,1,reliability,17.2856,58.32,2
29,2,cost,19.8248,74.5717,3
30,0,latency,12.8669,38.4388,1
30,1,reliability,15.2933,60.2126,2
30,2,cost,19.765,77.0715,3
31,0,latency,11.7031,35.5511,1
31,1,reliability,14.1765,61.3019,2
31,2,cost,20.3646,73.641,3
32,0,latency,11.0261,40.9229,1
32,1,reliability,14.0896,56.2105,2
32,2,cost,19.1326,73.2108,3
33,0,latency,11.1504,37.6731,1
33,1,reliability,15.0099,60.815,2
33,2,cost,18.3976,75.2879,3
34,0,latency,9.3848,37.9026,1
34,1,reliability,13.8941,55.5624,2
34,2,cost,17.4099,73.3318,3
35,0,latency,11.6791,35.3472,1
35,1,reliability,14.4893,57.0317,2
35,2,cost,17.7212,76.0055,3
36,0,latency,11.3505,40.6748,1
36,1,reliability,14.3064,56.6081,2
36,2,cost,17.7609,74.485,3
37,0,latency,11.0876,35.8312,1
37,1,reliability,14.5372,58.4565,2
37,2,cost,19.9973,77.7537,3
38,0,latency,10.3424,37.4252,1
38,1,reliability,13.3979,56.8186,2
38,2,cost,18.3649,76.4117,3
39,0,latency,10.5712,36.6917,1
39,1,reliability,13.022,57.6747,2
39,2,cost,17.4752,72.9411,3
40,0,latency,10.6312,37.8115,1
40,1,reliability,13.5691,55.0659,2
40,2,cost,20.3213,71.4252,3
41,0,latency,10.679,41.6738,1
41,1,reliability,17.5951,55.6569,2
41,2,cost,18.691,74.6831,3
42,0,latency,13.2051,36.0263,1
42,1,reliability,15.4259,59.5547,2
42,2,cost,19.7699,73.2477,3
43,0,latency,12.018,35.2502,1
43,1,reliability,15.8318,57.4672,2
43,2,cost,20.1054,72.8893,3
44,0,latency,12.8372,40.0254,1
44,1,reliability,16.5893,58.7035,2
44,2,cost,20.5125,74.0002,3
45,0,latency,19.2958,38.633,1
45,1,reliability,26.183,62.1863,2
45,2,cost,33.9073,74.7717,3
46,0,latency,19.854,35.7752,1
46,1,reliability,27.9952,58.5255,2
46,2,cost,34.0042,70.5108,3
47,0,latency,21.8188,38.9088,1
47,1,reliability,26.9632,57.057,2
47,2,cost,34.8373,74.1049,3
48,0,latency,21.4663,37.793,1
48,1,reliability,28.4734,58.3051,2
48,2,cost,36.8272,68.8667,3
49,0,latency,22.1337,38.353,1
49,1,reliability,29.7352,57.2562,2
49,2,cost,35.2683,74.656,3
50,0,latency,24.3175,34.9323,1
50,1,reliability,30.9988,57.3429,2
50,2,cost,37.6309,71.8942,3
51,0,latency,23.2594,40.6001,1
51,1,reliability,31.5553,61.4646,2
51,2,cost,39.5933,74.8782,3
52,0,latency,25.4821,38.878,1
52,1,reliability,32.4916,57.4069,2
52,2,cost,39.6247,72.6052,3
53,0,latency,25.3979,35.6434,1
53,1,reliability,33.1413,57.6187,2
53,2,cost,41.3615,75.5017,3
54,0,latency,26.5322,39.4615,1
54,1,reliability,31.8782,57.8661,2
54,2,cost,40.2582,72.9634,3
55,0,latency,26.6965,39.2751,1
55,1,reliability,33.1207,55.9726,2
55,2,cost,41.8985,71.5669,3
56,0,latency,25.2975,38.624,1
56,1,reliability,35.0626,59.2175,2
56,2,cost,40.6092,74.6087,3
57,0,latency,26.1682,38.8278,1
57,1,reliability,35.7963,53.8735,2
57,2,cost,42.4231,75.1818,3
58,0,latency,25.0461,40.9519,1
58,1,reliability,35.0632,59.6932,2
58,2,cost,42.769,75.6275,3
59,0,latency,27.2879,38.4658,1
59,1,reliability,35.1171,58.5407,2
59,2,cost,42.7352,73.7049,3
60,0,latency,26.352,38.7668,1
60,1,reliability,35.7834,55.8829,2
60,2,cost,43.393,76.9629,3
61,0,latency,25.8383,36.3555,1
61,1,reliability,35.0914,59.6888,2
61,2,cost,43.435,76.6579,3
62,0,latency,26.9968,39.6836,1
62,1,reliability,35.2118,62.6553,2
62,2,cost,43.0616,69.993,3
63,0,latency,27.394,37.0846,1
63,1,reliability,34.5896,60.6191,2
63,2,cost,41.6142,71.4967,3
64,0,latency,24.5534,36.4117,1
64,1,reliability,34.49,59.0484,2
64,2,cost,42.6633,71.1745,3
65,0,latency,23.6394,38.1087,1
65,1,reliability,33.3024,58.9188,2
65,2,cost,42.4338,74.2765,3
66,0,latency,25.6838,38.4584,1
66,1,reliability,33.5598,56.5907,2
66,2,cost,41.0521,74.3936,3
67,0,latency,25.2626,37.2125,1
67,1,reliability,32.9323,57.4683,2
67,2,cost,40.3305,75.659,3
68,0,latency,22.4926,35.4071,1
68,1,reliability,30.6435,53.3328,2
68,2,cost,39.0289,75.4989,3
69,0,latency,23.299,38.3956,1
69,1,reliability,31.9605,60.6554,2
69,2,cost,38.5961,76.7072,3
70,0,latency,14.8709,36.3252,1
70,1,reliability,19.0779,55.0389,2
70,2,cost,23.5991,73.284,3
71,0,latency,15.0449,41.4415,1
71,1,reliability,17.9255,58.7857,2
71,2,cost,22.828,74.9494,3
72,0,latency,13.8951,34.3382,1
72,1,reliability,19.2426,56.79,2
72,2,cost,22.5729,71.8605,3
73,0,latency,13.0746,38.8558,1
73,1,reliability,17.8174,58.6573,2
73,2,cost,22.6291,76.6413,3
74,0,latency,12.9286,35.0463,1
74,1,reliability,18.3004,57.337,2
74,2,cost,22.582,74.7668,3
75,0,latency,12.7164,38.6976,1
75,1,reliability,18.5033,62.154,2
75,2,cost,21.1191,74.3204,3
76,0,latency,13.321,36.3087,1
76,1,reliability,16.7315,57.9483,2
76,2,cost,20.7211,72.3333,3
77,0,latency,10.8534,33.854,1
77,1,reliability,15.1284,57.0826,2
77,2,cost,19.6851,77.8745,3
78,0,latency,12.7069,36.0758,1
78,1,reliability,15.9002,57.1858,2
78,2,cost,19.1945,74.3707,3
79,0,latency,12.0518,37.3215,1
79,1,reliability,16.1221,55.7161,2
79,2,cost,18.9907,79.1953,3
80,0,latency,11.5111,40.8664,1
80,1,reliability,15.0485,59.1616,2
80,2,cost,18.5725,73.6592,3
81,0,latency,10.5309,38.8606,1
81,1,reliability,14.0586,59.3312,2
81,2,cost,19.1934,74.7331,3
82,0,latency,10.7959,38.9079,1
82,1,reliability,14.3217,59.8711,2
82,2,cost,16.6473,73.3288,3
83,0,latency,9.3537,35.0099,1
83,1,reliability,15.5559,59.7904,2
83,2,cost,17.4077,70.995,3
84,0,latency,8.5484,36.913,1
84,1,reliability,16.3663,58.8698,2
84,2,cost,17.4923,74.9302,3
85,0,latency,9.6976,37.4054,1
85,1,reliability,14.5444,57.8278,2
85,2,cost,18.6159,74.6893,3
86,0,latency,11.5596,36.6233,1
86,1,reliability,15.2869,61.2579,2
86,2,cost,17.3363,72.2246,3
87,0,latency,12.2231,37.6173,1
87,1,reliability,15.8629,57.1149,2
87,2,cost,19.4892,74.263,3
88,0,latency,11.5392,41.1294,1
88,1,reliability,14.6859,56.1178,2
88,2,cost,18.2591,74.9047,3
89,0,latency,10.3039,39.2749,1
89,1,reliability,14.84,60.2956,2
89,2,cost,17.0702,72.4269,3
90,0,latency,10.4729,36.3475,1
90,1,reliability,15.8202,57.6415,2
90,2,cost,19.2193,73.6816,3
91,0,latency,12.2877,35.9829,1
91,1,reliability,16.5878,59.3253,2
91,2,cost,20.2277,75.1131,3
92,0,latency,12.6971,42.0701,1
92,1,reliability,16.3953,57.3858,2
92,2,cost,19.8672,71.9355,3
93,0,latency,11.8258,36.2224,1
93,1,reliability,16.8859,58.6686,2
93,2,cost,21.1045,72.4689,3
94,0,latency,13.923,39.4788,1
94,1,reliability,17.3189,56.6942,2
94,2,cost,22.1291,74.3759,3
95,0,latency,12.4395,37.864,1
95,1,reliability,18.1784,56.2006,2
95,2,cost,22.4914,71.0904,3
96,0,latency,15.0689,40.4959,1
96,1,reliability,18.298,58.7269,2
96,2,cost,21.0721,71.6873,3
97,0,latency,14.167,35.8557,1
97,1,reliability,19.6028,61.9946,2
97,2,cost,22.7192,72.3251,3
98,0,latency,14.9855,41.2222,1
98,1,reliability,18.5755,58.4981,2
98,2,cost,25.7667,70.6965,3
99,0,latency,14.1538,37.1528,1
99,1,reliability,19.6411,59.6252,2
99,2,cost,25.1297,70.4501,3
100,0,latency,15.9523,36.8449,1
100,1,reliability,21.5546,56.7448,2
100,2,cost,25.0207,75.0823,3
101,0,latency,16.4853,38.8962,1
101,1,reliability,19.6292,59.0761,2
101,2,cost,25.2529,74.4706,3
102,0,latency,15.0389,38.8926,1
102,1,reliability,20.7326,55.4347,2
102,2,cost,27.149,74.4833,3
103,0,latency,15.9523,40.9024,1
103,1,reliability,21.3764,58.0642,2
103,2,cost,27.2295,72.7607,3
104,0,latency,17.0443,36.9331,1
104,1,reliability,21.6954,60.7253,2
104,2,cost,26.5496,69.1744,3
105,0,latency,18.1343,43.0987,1
105,1,reliability,21.936,54.1263,2
105,2,cost,27.4264,73.4276,3
106,0,latency,16.8231,35.7732,1
106,1,reliability,22.895,59.049,2
106,2,cost,26.6921,75.3984,3
107,0,latency,18.6958,38.3439,1
107,1,reliability,22.2653,57.716,2
107,2,cost,28.5089,70.5387,3
108,0,latency,17.2115,37.2191,1
108,1,reliability,24.0483,57.6517,2
108,2,cost,29.3943,71.7925,3
109,0,latency,17.5235,38.6388,1
109,1,reliability,21.8399,58.3548,2
109,2,cost,28.9867,73.3524,3
110,0,latency,15.6215,37.9649,1
110,1,reliability,21.7094,57.3153,2
110,2,cost,27.8223,70.5887,3
111,0,latency,15.553,38.9641,1
111,1,reliability,21.842,52.8705,2
111,2,cost,28.3027,74.5447,3
112,0,latency,16.0963,35.3663,1
112,1,reliability,22.6934,58.6987,2
112,2,cost,29.2882,74.8404,3
113,0,latency,16.7537,37.6661,1
113,1,reliability,22.3824,59.2502,2
113,2,cost,28.0157,72.9574,3
114,0,latency,15.8296,37.0418,1
114,1,reliability,22.0106,60.9967,2
114,2,cost,26.2109,73.1505,3
115,0,latency,39.145,37.5085,1
115,1,reliability,52.1569,53.4964,2
115,2,cost,63.2355,72.4352,3
116,0,latency,36.2167,36.0727,1
116,1,reliability,49.5786,57.5978,2
116,2,cost,63.4389,73.5099,3
117,0,latency,36.3631,37.8861,1
117,1,reliability,49.9803,56.0481,2
117,2,cost,60.3657,75.1171,3
118,0,latency,36.0758,39.295,1
118,1,reliability,47.8949,59.4033,2
118,2,cost,58.7305,73.9758,3
119,0,latency,35.1164,35.5682,1
119,1,reliability,45.3758,59.3715,2
119,2,cost,57.6874,71.9554,3
120,0,latency,34.2231,40.256,1
120,1,reliability,43.5004,55.0067,2
120,2,cost,55.6117,76.9224,3
121,0,latency,33.5411,39.5346,1
121,1,reliability,43.1113,55.7609,2
121,2,cost,55.0901,74.1165,3
122,0,latency,32.7859,37.6247,1
122,1,reliability,42.9667,58.3162,2
122,2,cost,53.7636,75.614,3
123,0,latency,30.1164,33.5055,1
123,1,reliability,42.3105,60.3755,2
123,2,cost,50.7894,70.2803,3
124,0,latency,30.6062,39.8617,1
124,1,reliability,41.7773,59.0326,2
124,2,cost,49.8541,72.2137,3
125,0,latency,29.7154,37.4015,1
125,1,reliability,38.4427,62.0975,2
125,2,cost,50.2313,76.2721,3
126,0,latency,28.2275,39.71,1
126,1,reliability,38.7858,58.8851,2
126,2,cost,48.5837,75.2707,3
127,0,latency,28.9054,39.2738,1
127,1,reliability,37.6867,54.4328,2
127,2,cost,46.5817,72.8876,3
128,0,latency,26.7411,41.3636,1
128,1,reliability,38.0726,60.7184,2
128,2,cost,45.8181,76.7013,3
129,0,latency,27.338,38.4056,1
129,1,reliability,35.2378,58.794,2
129,2,cost,44.945,71.3947,3
130,0,latency,26.9702,37.8405,1
130,1,reliability,37.1313,59.7884,2
130,2,cost,44.3846,74.4976,3
131,0,latency,26.8539,37.5942,1
131,1,reliability,34.5729,57.6979,2
131,2,cost,43.4622,71.4994,3
132,0,latency,27.163,38.7825,1
132,1,reliability,33.9241,57.7546,2
132,2,cost,44.7496,76.1184,3
133,0,latency,27.6392,38.0778,1
133,1,reliability,34.7628,55.8326,2
133,2,cost,44.3347,74.7586,3
134,0,latency,28.041,40.2,1
134,1,reliability,35.5875,55.5116,2
134,2,cost,44.1201,74.4345,3
135,0,latency,27.1667,36.8442,1
135,1,reliability,36.3148,56.9921,2
135,2,cost,44.3942,74.6229,3
136,0,latency,27.4434,38.4882,1
136,1,reliability,36.908,55.7211,2
136,2,cost,45.2289,76.8756,3
137,0,latency,27.3837,33.7667,1
137,1,reliability,35.9246,58.0582,2
137,2,cost,46.5395,73.7648,3
138,0,latency,29.9355,32.6543,1
138,1,reliability,38.5908,61.1229,2
138,2,cost,46.6818,73.2404,3
139,0,latency,29.104,36.2113,1
139,1,reliability,38.9937,60.855,2
139,2,cost,50.2731,73.3281,3
140,0,latency,32.051,38.0712,1
140,1,reliability,41.7422,57.8134,2
140,2,cost,50.2563,74.7309,3
141,0,latency,33.9554,39.7026,1
141,1,reliability,40.9433,59.938,2
141,2,cost,51.3164,73.0205,3
142,0,latency,33.0738,38.0622,1
142,1,reliability,42.967,58.028,2
142,2,cost,53.4107,74.8499,3
143,0,latency,31.7655,39.3331,1
143,1,reliability,43.2378,55.1154,2
143,2,cost,54.6851,74.168,3
144,0,latency,33.7452,39.6621,1
144,1,reliability,44.2513,57.1861,2
144,2,cost,55.8821,73.9068,3
145,0,latency,14.6251,35.9842,1
145,1,reliability,19.6107,58.126,2
145,2,cost,22.1469,70.0828,3
146,0,latency,14.7873,37.5581,1
146,1,reliability,19.4707,57.944,2
146,2,cost,24.4901,75.8953,3
147,0,latency,14.2898,35.6561,1
147,1,reliability,19.1829,58.5778,2
147,2,cost,25.9323,73.1373,3
148,0,latency,13.5386,34.592,1
148,1,reliability,19.8686,56.8845,2
148,2,cost,25.2033,74.0772,3
149,0,latency,15.6256,40.0987,1
149,1,reliability,20.4368,56.2754,2
149,2,cost,26.4634,70.9287,3
150,0,latency,16.4896,38.2051,1
150,1,reliability,21.26,61.1766,2
150,2,cost,26.0802,78.1206,3
151,0,latency,16.2632,35.446,1
151,1,reliability,21.7849,55.8475,2
151,2,cost,26.413,74.7941,3
152,0,latency,17.1118,36.7557,1
152,1,reliability,22.8146,60.315,2
152,2,cost,28.5311,75.0588,3
153,0,latency,17.9363,34.2384,1
153,1,reliability,22.0059,56.266,2
153,2,cost,27.7702,72.8571,3
154,0,latency,16.8421,41.7643,1
154,1,reliability,22.2955,58.8276,2
154,2,cost,27.7018,74.1514,3
155,0,latency,17.0585,38.8966,1
155,1,reliability,23.4674,61.2948,2
155,2,cost,28.2644,75.1791,3
156,0,latency,16.1593,37.8242,1
156,1,reliability,23.3222,59.7319,2
156,2,cost,28.2293,75.7728,3
157,0,latency,17.4463,40.4006,1
157,1,reliability,22.7667,57.2886,2
157,2,cost,28.2854,68.1388,3
158,0,latency,17.2814,30.7032,1
158,1,reliability,21.0525,58.9035,2
158,2,cost,28.2696,71.6751,3
159,0,latency,16.2759,40.7411,1
159,1,reliability,21.873,62.4858,2
159,2,cost,27.6733,74.8161,3
160,0,latency,17.9609,38.2621,1
160,1,reliability,21.2228,57.7805,2
160,2,cost,27.3536,71.2705,3
161,0,latency,16.2389,36.5156,1
161,1,reliability,22.4684,58.0692,2
161,2,cost,26.7881,73.7876,3
162,0,latency,16.3564,39.2336,1
162,1,reliability,20.5782,55.9168,2
162,2,cost,27.4617,73.1753,3
163,0,latency,14.7415,38.8876,1
163,1,reliability,21.3484,54.9386,2
163,2,cost,26.2639,75.4712,3
164,0,latency,15.8395,39.264,1
164,1,reliability,19.4116,58.6621,2
164,2,cost,25.2879,73.0344,3
165,0,latency,28.777,40.9585,1
165,1,reliability,38.5419,60.6296,2
165,2,cost,46.0445,74.7054,3
166,0,latency,27.9882,38.2424,1
166,1,reliability,36.2784,59.6475,2
166,2,cost,44.9254,72.5414,3
167,0,latency,26.3122,39.2678,1
167,1,reliability,35.2102,58.6804,2
167,2,cost,44.3079,73.2503,3
168,0,latency,26.505,38.7577,1
168,1,reliability,33.2371,60.8846,2
168,2,cost,42.1494,70.6898,3
169,0,latency,24.3202,35.9579,1
169,1,reliability,33.2839,57.4523,2
169,2,cost,41.0587,75.2394,3
170,0,latency,24.6971,38.6321,1
170,1,reliability,32.6041,59.2323,2
170,2,cost,38.4408,73.2711,3
171,0,latency,21.9753,38.0721,1
171,1,reliability,31.3399,60.0911,2
171,2,cost,39.9178,74.4056,3
172,0,latency,22.6507,38.9703,1
172,1,reliability,30.0379,57.9972,2
172,2,cost,38.6584,72.8845,3
173,0,latency,23.0758,39.3548,1
173,1,reliability,28.8775,59.9478,2
173,2,cost,37.4102,74.2039,3
174,0,latency,21.261,36.2816,1
174,1,reliability,28.4707,59.0852,2
174,2,cost,35.1663,74.875,3
175,0,latency,20.3861,37.5919,1
175,1,reliability,28.3392,62.8903,2
175,2,cost,34.0216,76.944,3
176,0,latency,21.0853,38.8223,1
176,1,reliability,27.7989,58.8895,2
176,2,cost,34.3202,76.9081,3
177,0,latency,20.2706,40.2645,1
177,1,reliability,26.7532,57.8795,2
177,2,cost,33.044,74.91,3
178,0,latency,12.181,37.8453,1
178,1,reliability,14.4112,55.7708,2
178,2,cost,17.929,70.8144,3
179,0,latency,10.216,38.4536,1
179,1,reliability,15.52,63.6184,2
179,2,cost,17.514,76.8706,3
180,0,latency,11.115,37.6975,1
180,1,reliability,14.7761,58.1238,2
180,2,cost,18.0283,73.1833,3
181,0,latency,9.8279,34.9127,1
181,1,reliability,14.9874,57.4466,2
181,2,cost,17.5064,74.017,3
182,0,latency,11.6609,38.3607,1
182,1,reliability,14.0438,60.4526,2
182,2,cost,19.3758,74.9891,3
183,0,latency,11.9334,40.4839,1
183,1,reliability,15.6439,59.2282,2
183,2,cost,18.8038,75.0393,3
184,0,latency,10.4548,39.4014,1
184,1,reliability,13.8906,56.4108,2
184,2,cost,19.6608,75.6804,3
185,0,latency,12.7464,37.4567,1
185,1,reliability,14.3493,57.5191,2
185,2,cost,19.0673,74.158,3
186,0,latency,12.7291,37.2775,1
186,1,reliability,15.9037,56.0227,2
186,2,cost,19.7823,74.0062,3
187,0,latency,11.5252,37.5283,1
187,1,reliability,15.875,57.4597,2
187,2,cost,21.3367,73.8031,3
188,0,latency,12.2649,33.8051,1
188,1,reliability,15.7496,57.4739,2
188,2,cost,19.9213,76.7634,3
189,0,latency,12.6894,40.5769,1
189,1,reliability,16.9918,58.0745,2
189,2,cost,20.9926,74.0076,3
190,0,latency,14.5779,33.3608,1
190,1,reliability,15.8454,56.9137,2
190,2,cost,21.702,75.3802,3
191,0,latency,13.9764,37.2315,1
191,1,reliability,18.784,60.0604,2
191,2,cost,22.4868,75.9253,3
192,0,latency,14.2181,36.877,1
192,1,reliability,19.0583,58.2212,2
192,2,cost,23.0011,76.9459,3
193,0,latency,12.4413,35.1646,1
193,1,reliability,18.0816,57.2735,2
193,2,cost,23.4568,70.9853,3
194,0,latency,14.009,36.2783,1
194,1,reliability,21.5193,61.6035,2
194,2,cost,23.9802,73.2728,3
195,0,latency,14.2593,34.1837,1
195,1,reliability,19.964,56.0043,2
195,2,cost,24.8685,70.7996,3
196,0,latency,14.9304,38.2973,1
196,1,reliability,20.828,58.8349,2
196,2,cost,24.4736,75.7094,3
197,0,latency,15.2348,39.2657,1
197,1,reliability,20.9691,55.2472,2
197,2,cost,25.8274,74.7307,3
198,0,latency,16.6683,37.718,1
198,1,reliability,22.6033,60.015,2
198,2,cost,26.3726,75.5002,3
199,0,latency,17.9906,41.921,1
199,1,reliability,20.7465,56.1469,2
199,2,cost,28.2023,71.8834,3
