time,node_group,cpu_scale,mem_scale,arrival_scale
130,edge,0.9165,0.8374,2.35
131,edge,0.8648,0.7913,2.35
132,edge,0.8679,0.8236,2.35
133,edge,0.8985,0.8216,2.35
134,edge,0.7995,0.7521,2.35
135,edge,0.8705,0.8149,2.35
136,edge,0.8301,0.7563,2.35
137,edge,0.7749,0.7129,2.35
138,edge,0.7781,0.7204,2.35
139,edge,0.7533,0.6769,2.35
140,edge,0.7568,0.6803,2.35
141,edge,0.7246,0.6727,2.35
142,edge,0.7773,0.7336,2.35
143,edge,0.7421,0.7104,2.35
144,edge,0.7159,0.6766,2.35
145,edge,0.3544,0.3785,1.0
146,edge,0.2924,0.3378,1.0
147,edge,0.315,0.3421,1.0
148,edge,0.2902,0.3429,1.0
149,edge,0.3137,0.3332,1.0
150,edge,0.2954,0.3196,1.0
151,edge,0.3296,0.3382,1.0
152,edge,0.3948,0.4296,1.0
153,edge,0.3377,0.3865,1.0
154,edge,0.3548,0.343,1.0
155,edge,0.368,0.3966,1.0
156,edge,0.4149,0.4004,1.0
157,edge,0.4048,0.424,1.0
158,edge,0.3876,0.3975,1.0
159,edge,0.4426,0.4488,1.0
160,edge,0.4749,0.4658,1.0
161,edge,0.4577,0.4792,1.0
162,edge,0.4322,0.4378,1.0
163,edge,0.5283,0.5351,1.0
164,edge,0.5263,0.5464,1.0
165,edge,0.7596,0.7304,1.85
166,edge,0.8012,0.7663,1.85
167,edge,0.8011,0.7179,1.85
168,edge,0.8237,0.7746,1.85
169,edge,0.8113,0.7401,1.85
170,edge,0.8365,0.7982,1.85
171,edge,0.8148,0.7362,1.85
172,edge,0.8414,0.7873,1.85
173,edge,0.8626,0.7951,1.85
174,edge,0.8614,0.7885,1.85
175,edge,0.8821,0.7877,1.85
176,edge,0.8568,0.7994,1.85
177,edge,0.8288,0.736,1.85
178,edge,0.6105,0.5552,1.0
179,edge,0.5941,0.5684,1.0
180,edge,0.5153,0.5181,1.0
181,edge,0.5888,0.5767,1.0
182,edge,0.5201,0.4771,1.0
183,edge,0.4865,0.4759,1.0
184,edge,0.526,0.5251,1.0
185,edge,0.4841,0.503,1.0
186,edge,0.4568,0.4816,1.0
187,edge,0.4251,0.4474,1.0
188,edge,0.4362,0.4411,1.0
189,edge,0.4556,0.4639,1.0
190,edge,0.3942,0.3877,1.0
191,edge,0.4225,0.4056,1.0
192,edge,0.3813,0.4228,1.0
193,edge,0.3835,0.406,1.0
194,edge,0.3837,0.3974,1.0
195,edge,0.3424,0.363,1.0
196,edge,0.3567,0.3607,1.0
197,edge,0.3294,0.351,1.0
198,edge,0.3332,0.3226,1.0
199,edge,0.3245,0.35,1.0
