time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,src,dst,delay_ms,bandwidth,loss,jitter_ms,queue_delay_ms,bandwidth_util
3,normal,-1,0.0,,,-1,-1,access_1,edge_2,11.05729,51.92222,0.001065,0.68986,0.8578,0.36942
3,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.76912,51.14681,0.002528,0.49665,0.81618,0.39784
3,normal,-1,0.0,,,-1,-1,edge_0,edge_1,9.11083,51.14827,0.002541,0.54343,0.76108,0.39779
3,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.05888,52.402,0.002575,0.56738,0.7432,0.35183
3,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.32265,51.615,0.003163,0.68206,0.74528,0.38068
3,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.90772,51.69602,0.001116,0.57381,0.78588,0.37771
3,normal,-1,0.0,,,-1,-1,edge_4,edge_0,11.09214,51.55267,0.001518,0.91418,0.89206,0.38297
3,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,39.45345,69.39802,0.0,2.3443,3.27329,0.39508
3,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,39.01734,69.46909,0.002579,2.38155,3.22135,0.39315
3,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,37.8268,69.73804,0.000862,2.31348,3.06525,0.38588
4,normal,-1,0.0,,,-1,-1,access_0,edge_0,10.87311,52.0957,0.003975,0.78289,0.829,0.36306
4,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.98384,50.97421,0.00485,0.77261,0.93226,0.40417
4,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.74571,51.05296,0.001818,0.96623,0.90554,0.40128
4,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.55726,52.25518,0.004108,0.50872,0.71694,0.35721
4,normal,-1,0.0,,,-1,-1,edge_0,edge_1,12.15152,50.61703,0.00124,0.30482,1.06478,0.41726
4,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.11321,50.79049,0.001324,0.87477,0.87267,0.41091
4,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.89635,51.4968,0.0,0.58588,0.80015,0.38501
4,normal,-1,0.0,,,-1,-1,edge_3,edge_4,11.12433,51.88544,0.002523,0.90434,0.86616,0.37077
4,normal,-1,0.0,,,-1,-1,edge_4,edge_0,10.52541,51.41261,0.001869,0.72376,0.85783,0.3881
4,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,38.27101,69.57711,0.001439,2.52868,3.13624,0.39023
4,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.86257,69.31084,0.00137,2.01379,3.16005,0.39743
4,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,38.61374,68.78794,0.002001,2.20967,3.33747,0.41158
5,normal,-1,0.0,,,-1,-1,access_0,edge_0,10.18477,51.0597,0.003651,0.70972,0.85774,0.40104
5,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.7912,51.82413,0.002697,0.48039,0.76698,0.37302
5,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.43546,50.55702,0.001245,0.62653,0.91923,0.41946
5,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.78199,51.66428,0.002382,0.73086,0.77829,0.37888
5,normal,-1,0.0,,,-1,-1,edge_0,edge_1,8.2499,51.4044,0.002929,0.70093,0.6729,0.3884
5,normal,-1,0.0,,,-1,-1,edge_1,edge_2,11.71787,51.827,0.001972,0.80608,0.91764,0.37291
5,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.90289,51.56299,0.002637,0.73789,0.79563,0.38259
5,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.82308,51.53897,0.00134,0.24352,0.79104,0.38347
5,normal,-1,0.0,,,-1,-1,edge_4,edge_0,10.845,51.65718,0.001655,0.82337,0.86346,0.37914
5,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,39.76007,69.33118,0.001129,2.52974,3.31383,0.39688
5,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,39.76887,69.60201,0.002127,2.44996,3.25336,0.38956
5,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,37.98665,69.75631,0.001048,2.05828,3.07426,0.38538
6,normal,-1,0.0,,,-1,-1,access_0,edge_0,9.81824,51.79896,0.000169,0.92927,0.771,0.37394
6,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.49301,51.30245,0.003092,1.02884,0.86409,0.39214
6,normal,-1,0.0,,,-1,-1,access_1,edge_2,9.31546,50.95333,0.001278,0.28687,0.79216,0.40494
6,normal,-1,0.0,,,-1,-1,access_1,edge_3,10.50269,50.82015,0.001025,0.60847,0.90388,0.40982
6,normal,-1,0.0,,,-1,-1,edge_0,edge_1,11.25641,51.36877,0.003537,0.61492,0.92121,0.38971
6,normal,-1,0.0,,,-1,-1,edge_1,edge_2,9.62844,51.26649,0.001108,0.486,0.79556,0.39346
6,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.62024,51.04375,0.003842,0.75616,0.81138,0.40162
6,normal,-1,0.0,,,-1,-1,edge_3,edge_4,10.43257,51.69489,0.00094,0.4927,0.8276,0.37775
6,normal,-1,0.0,,,-1,-1,edge_4,edge_0,11.44925,51.0005,0.001108,0.69708,0.96945,0.40321
6,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,39.15253,69.90092,0.000702,1.86394,3.13645,0.38147
6,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,39.0884,68.52303,0.001583,2.43321,3.43733,0.41875
6,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,39.05621,69.49374,0.002499,2.12045,3.21909,0.39249
7,normal,-1,0.0,,,-1,-1,access_0,edge_0,8.94717,51.79369,0.001675,0.73577,0.70296,0.37413
7,normal,-1,0.0,,,-1,-1,access_0,edge_1,8.94802,50.83823,0.000678,0.46867,0.76884,0.40916
7,normal,-1,0.0,,,-1,-1,access_1,edge_2,8.91543,51.43368,0.003592,0.29864,0.72517,0.38733
7,normal,-1,0.0,,,-1,-1,access_1,edge_3,8.2008,50.99654,0.001845,0.24791,0.69464,0.40335
7,normal,-1,0.0,,,-1,-1,edge_0,edge_1,11.87511,51.4804,0.002658,0.36414,0.96164,0.38562
7,normal,-1,0.0,,,-1,-1,edge_1,edge_2,9.82898,51.28653,0.002744,0.59299,0.81061,0.39272
7,normal,-1,0.0,,,-1,-1,edge_2,edge_3,10.61068,51.58491,0.001754,0.48949,0.85071,0.38178
7,normal,-1,0.0,,,-1,-1,edge_3,edge_4,8.65521,50.91809,0.003441,0.50055,0.73836,0.40623
7,normal,-1,0.0,,,-1,-1,edge_4,edge_0,9.97473,50.68559,0.000825,0.72512,0.86878,0.41475
7,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,36.59892,69.97041,0.001735,2.19138,2.91743,0.37959
7,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,39.0305,69.81545,0.001305,2.1069,3.14563,0.38378
7,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,38.93241,68.80779,0.0,1.95384,3.36062,0.41104
8,normal,-1,0.0,,,-1,-1,access_0,edge_0,9.82221,50.65372,0.000821,0.80111,0.8579,0.41592
8,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.37056,51.60998,0.002594,0.85952,0.82946,0.38087
8,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.32291,51.82224,0.0,0.6686,0.80878,0.37308
8,normal,-1,0.0,,,-1,-1,access_1,edge_3,10.75239,50.93902,0.00122,0.39989,0.91553,0.40546
8,normal,-1,0.0,,,-1,-1,edge_0,edge_1,10.03126,51.95556,0.002496,0.59989,0.77563,0.3682
8,normal,-1,0.0,,,-1,-1,edge_1,edge_2,9.45746,51.71287,0.003339,0.6508,0.74893,0.37709
8,normal,-1,0.0,,,-1,-1,edge_2,edge_3,11.76742,51.45427,0.003185,0.86392,0.95529,0.38657
8,normal,-1,0.0,,,-1,-1,edge_3,edge_4,11.42253,51.21736,0.003089,0.81888,0.94812,0.39526
8,normal,-1,0.0,,,-1,-1,edge_4,edge_0,9.04682,51.71804,0.002282,0.49133,0.71606,0.3769
8,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,37.77456,69.9309,0.001914,2.2372,3.01963,0.38066
8,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,38.04189,69.91772,0.003056,2.32186,3.04384,0.38101
8,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,39.16163,69.80643,0.003431,2.30165,3.1582,0.38403
9,normal,-1,0.0,,,-1,-1,access_0,edge_0,7.89842,51.10678,0.001459,0.52644,0.66233,0.39931
9,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.33481,51.01742,0.00148,0.64769,0.7892,0.40259
9,normal,-1,0.0,,,-1,-1,access_1,edge_2,11.69728,50.83434,0.000836,0.59722,1.00541,0.4093
9,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.43115,51.0945,0.000733,0.38111,0.79174,0.39976
9,normal,-1,0.0,,,-1,-1,edge_0,edge_1,10.24314,51.34431,0.0,0.28896,0.84021,0.3906
9,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.05177,51.09933,0.000836,0.54562,0.84347,0.39958
9,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.72397,50.78083,0.000138,0.47302,0.83981,0.41126
9,normal,-1,0.0,,,-1,-1,edge_3,edge_4,10.5932,51.11184,0.0,0.81303,0.88788,0.39913
9,normal,-1,0.0,,,-1,-1,edge_4,edge_0,8.7871,51.15272,0.003109,0.45714,0.73374,0.39763
9,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,37.42751,70.40429,0.002405,2.42284,2.89121,0.36785
9,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.6882,70.81988,0.001106,2.14722,2.82236,0.3566
9,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,39.66878,69.25843,0.001026,2.30383,3.32261,0.39885
10,normal,-1,0.0,,,-1,-1,access_0,edge_0,9.32082,51.72605,0.000913,0.73195,0.73717,0.37661
10,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.4054,51.23324,0.0,0.75881,0.86242,0.39468
10,normal,-1,0.0,,,-1,-1,access_1,edge_2,9.70046,51.41807,0.002065,0.47921,0.79019,0.3879
10,normal,-1,0.0,,,-1,-1,access_1,edge_3,8.79515,51.93105,0.001534,0.73415,0.68171,0.3691
10,normal,-1,0.0,,,-1,-1,edge_0,edge_1,9.7115,51.56419,0.000287,0.63245,0.78017,0.38254
10,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.95968,51.87101,0.004835,0.60796,0.85455,0.3713
10,normal,-1,0.0,,,-1,-1,edge_2,edge_3,10.7512,50.81929,0.001307,0.48352,0.92534,0.40985
10,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.86364,51.63716,0.003452,0.36015,0.78685,0.37987
10,normal,-1,0.0,,,-1,-1,edge_4,edge_0,10.79659,51.54768,0.003266,0.78162,0.86871,0.38315
10,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,37.63498,70.85293,0.004494,2.17169,2.8113,0.35571
10,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,38.55388,68.77369,0.003527,2.28345,3.33542,0.41197
10,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,36.88869,71.31324,0.002751,2.29772,2.65908,0.34326
11,normal,-1,0.0,,,-1,-1,access_0,edge_0,10.33622,51.00064,0.002072,0.49528,0.87519,0.4032
11,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.33813,51.48506,0.002308,0.43105,0.8368,0.38544
11,normal,-1,0.0,,,-1,-1,access_1,edge_2,9.61035,51.49283,0.003526,0.584,0.77732,0.38516
11,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.68663,51.73483,0.00285,0.5594,0.76544,0.37629
11,normal,-1,0.0,,,-1,-1,edge_0,edge_1,10.10513,50.71609,0.001135,0.65742,0.87776,0.41363
11,normal,-1,0.0,,,-1,-1,edge_1,edge_2,9.84158,51.95989,0.000193,0.48392,0.76064,0.36804
11,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.36702,51.42529,0.001802,0.77707,0.76251,0.38764
11,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.22875,52.12581,0.000862,0.12113,0.70149,0.36196
11,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,14.11619,45.94094,0.00926,1.01842,2.74225,0.58868
11,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,38.44875,70.10116,0.003669,2.15159,3.03633,0.37605
11,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.85611,70.75467,0.001524,1.92795,2.84896,0.35837
11,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,39.04958,69.10338,0.000764,2.30827,3.30515,0.40305
12,normal,-1,0.0,,,-1,-1,access_0,edge_0,10.96055,51.9032,0.004161,0.51282,0.85191,0.37012
12,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.15382,52.28022,0.001395,0.6556,0.68491,0.3563
12,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.27727,51.69239,0.001971,0.56971,0.81547,0.37784
12,normal,-1,0.0,,,-1,-1,access_1,edge_3,11.4977,51.44092,0.002417,0.54262,0.93457,0.38706
12,normal,-1,0.0,,,-1,-1,edge_0,edge_1,9.64638,52.8248,0.001925,0.58564,0.68133,0.33633
12,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.65306,51.59551,0.002277,0.58648,0.85324,0.3814
12,normal,-1,0.0,,,-1,-1,edge_2,edge_3,6.77171,51.54384,0.002541,0.4177,0.54506,0.38329
12,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.59746,51.45323,0.0,0.58156,0.7792,0.38661
12,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,13.38211,46.02451,0.011952,0.94993,2.58612,0.58561
12,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,37.17216,70.42843,0.003017,2.00898,2.86639,0.3672
12,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,38.82937,68.45678,0.001532,2.32791,3.42917,0.42054
12,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,36.34836,71.39098,0.004173,1.91998,2.60408,0.34115
13,normal,-1,0.0,,,-1,-1,access_0,edge_0,9.39254,51.30937,0.002199,0.70138,0.77297,0.39189
13,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.284,52.07262,0.002638,0.71941,0.70949,0.36391
13,normal,-1,0.0,,,-1,-1,access_1,edge_2,12.32398,51.36195,0.002371,0.72455,1.00923,0.38996
13,normal,-1,0.0,,,-1,-1,access_1,edge_3,7.81766,52.68761,0.001895,0.69553,0.56042,0.34136
13,normal,-1,0.0,,,-1,-1,edge_0,edge_1,10.88025,51.70301,0.003686,0.63148,0.86243,0.37746
13,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.03386,51.79361,0.003867,0.72043,0.78834,0.37413
13,normal,-1,0.0,,,-1,-1,edge_2,edge_3,10.67072,51.58479,0.000166,0.51788,0.85553,0.38179
13,normal,-1,0.0,,,-1,-1,edge_3,edge_4,13.10735,51.17694,0.001042,0.73382,1.09204,0.39674
13,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,15.88238,44.04931,0.012929,1.10505,3.44879,0.65802
13,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,40.41791,69.57803,0.004335,2.326,3.31196,0.3902
13,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,38.02777,70.13042,0.0009,2.0223,2.99676,0.37526
13,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,36.78659,71.01935,0.003131,1.83797,2.71315,0.35121
14,normal,-1,0.0,,,-1,-1,access_0,edge_0,9.60518,51.98321,0.002583,0.53539,0.74064,0.36718
14,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.63955,51.39853,0.0,0.75329,0.78668,0.38862
14,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.27746,51.56638,0.001804,0.70372,0.82546,0.38246
14,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.03414,51.61527,0.002879,0.37498,0.7222,0.38067
14,normal,-1,0.0,,,-1,-1,edge_0,edge_1,8.6842,52.75569,0.001603,0.69903,0.61799,0.33887
14,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.24703,51.46454,0.000522,0.44057,0.83105,0.3862
14,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.22818,51.18415,0.001108,0.72772,0.76834,0.39648
14,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.22174,51.8812,0.002277,0.67469,0.71832,0.37092
14,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,16.48624,41.5471,0.013623,1.2307,4.07893,0.74974
14,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,37.45166,69.73386,0.002481,2.21942,3.03574,0.38599
14,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,40.02821,69.20671,0.000655,2.53349,3.36448,0.40025
14,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,37.17113,69.89479,0.001776,2.03181,2.97901,0.38163
15,normal,-1,0.0,,,-1,-1,access_0,edge_0,9.59039,51.78293,0.000614,0.32797,0.75429,0.37453
15,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.79403,51.92949,0.003308,0.18216,0.75926,0.36915
15,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.03263,53.15104,0.002231,0.46113,0.68341,0.32438
15,normal,-1,0.0,,,-1,-1,access_1,edge_3,10.01893,51.889,0.002139,0.60383,0.77981,0.37064
15,normal,-1,0.0,,,-1,-1,edge_0,edge_1,9.17413,51.80229,0.0,0.63668,0.72018,0.37382
15,normal,-1,0.0,,,-1,-1,edge_1,edge_2,9.36237,52.48767,0.000381,0.68112,0.68556,0.34869
15,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.75708,52.46938,0.000465,0.5383,0.71584,0.34936
15,normal,-1,0.0,,,-1,-1,edge_3,edge_4,8.5395,52.12668,0.002554,0.45535,0.64904,0.36193
15,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,17.51612,40.81869,0.017026,1.4426,4.48808,0.77644
15,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,37.96263,70.68451,0.0,2.07317,2.87211,0.36027
15,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.68658,70.53807,0.002343,2.17668,2.88258,0.36423
15,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,36.62058,71.02104,0.001587,2.2681,2.70055,0.35116
16,normal,-1,0.0,,,-1,-1,access_0,edge_0,10.38861,52.52184,0.00227,0.65508,0.75798,0.34744
16,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.97837,52.72125,0.004134,0.38705,0.71273,0.34013
16,normal,-1,0.0,,,-1,-1,access_1,edge_2,9.05187,51.90714,0.000922,0.31971,0.70328,0.36997
16,normal,-1,0.0,,,-1,-1,access_1,edge_3,10.76689,51.79576,0.001473,0.67787,0.84576,0.37406
16,normal,-1,0.0,,,-1,-1,edge_0,edge_1,9.07815,52.08217,0.001058,0.39846,0.69309,0.36356
16,mixed,162,0.43558,edge_1,edge_1-edge_2,2,1,edge_1,edge_2,13.02369,48.16609,0.007295,0.92127,2.17946,0.50711
16,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.23313,52.4943,0.004275,0.47406,0.67563,0.34845
16,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.71287,52.37883,0.002869,1.04447,0.71937,0.35268
16,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,16.47971,41.09996,0.019698,1.42846,4.16645,0.76613
16,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,39.36831,69.6691,0.004719,2.09588,3.20559,0.38774
16,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,36.54329,71.50576,0.003114,1.9852,2.59421,0.33805
16,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,39.4019,69.99361,0.0,2.57246,3.13567,0.37896
17,normal,-1,0.0,,,-1,-1,access_0,edge_0,8.32053,52.31098,0.004988,0.64595,0.62059,0.35517
17,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.01267,52.51349,0.000308,0.61866,0.73119,0.34775
17,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.3566,52.01397,0.001475,0.50279,0.79613,0.36606
17,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.86944,51.33606,0.002447,0.61287,0.81019,0.39091
17,normal,-1,0.0,,,-1,-1,edge_0,edge_1,11.01748,52.5527,0.003944,0.53861,0.80124,0.34631
17,mixed,162,0.43558,edge_1,edge_1-edge_2,2,1,edge_1,edge_2,11.86928,45.55769,0.010301,1.0452,2.36079,0.60272
17,normal,-1,0.0,,,-1,-1,edge_2,edge_3,11.03889,52.32272,0.00053,0.38962,0.82234,0.35474
17,normal,-1,0.0,,,-1,-1,edge_3,edge_4,10.18884,51.64806,0.003197,0.73088,0.81194,0.37947
17,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,17.67992,40.4579,0.020255,1.51346,4.60721,0.78967
17,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,39.02622,70.67397,0.001271,2.07405,2.95491,0.36055
17,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.85533,70.50718,0.001033,2.10764,2.90213,0.36507
17,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,38.26673,69.82608,0.002051,2.34681,3.08176,0.38349
18,normal,-1,0.0,,,-1,-1,access_0,edge_0,8.69922,51.99269,0.002113,0.38077,0.67015,0.36684
18,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.00728,52.56258,0.000477,0.28645,0.72702,0.34595
18,normal,-1,0.0,,,-1,-1,access_1,edge_2,9.65863,51.66398,0.004627,0.7835,0.7685,0.37889
18,normal,-1,0.0,,,-1,-1,access_1,edge_3,11.14704,51.52113,0.0,0.50825,0.89918,0.38412
18,normal,-1,0.0,,,-1,-1,edge_0,edge_1,8.77878,52.08888,0.003506,0.4803,0.66978,0.36331
18,mixed,162,0.43558,edge_1,edge_1-edge_2,2,1,edge_1,edge_2,15.99336,43.89962,0.012909,1.2411,3.50185,0.6635
18,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.77327,52.85553,0.000487,0.34179,0.68798,0.33521
18,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.81536,52.80174,0.001381,0.22266,0.695,0.33718
18,mixed,202,0.48243,edge_4,edge_4-edge_0,2,1,edge_4,edge_0,17.82306,40.81096,0.019454,1.52443,4.56839,0.77672
18,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,39.70407,69.75427,0.003625,2.82478,3.21371,0.38544
18,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,36.12982,71.11946,0.001299,1.92534,2.64416,0.3485
18,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,37.65863,70.58159,0.001669,1.95008,2.87113,0.36305
19,normal,-1,0.0,,,-1,-1,access_0,edge_0,12.48519,51.656,0.001808,0.48153,0.99417,0.37918
