time,service_id,user_id,service_type,request_rate,response_time,base_response_time,dependency_count,current_edge,cloud_node,last_violation
21,2,2,cost,24.6245,124.14401,71.2466,3,edge_4,cloud_0,0
22,0,0,latency,15.3053,84.32059,37.5556,1,edge_0,cloud_0,0
22,1,1,reliability,18.3767,103.84079,55.9688,2,edge_2,cloud_0,0
22,2,2,cost,24.5604,131.31471,75.6763,3,edge_4,cloud_0,0
23,0,0,latency,15.9994,89.05375,43.8277,1,edge_0,cloud_0,0
23,1,1,reliability,19.3628,105.05233,56.0209,2,edge_2,cloud_0,0
23,2,2,cost,21.9548,128.26609,74.5354,3,edge_4,cloud_0,0
24,0,0,latency,13.3496,85.00772,37.1693,1,edge_0,cloud_0,0
24,1,1,reliability,18.0103,104.33842,57.7184,2,edge_2,cloud_0,0
24,2,2,cost,23.8528,127.47279,74.3141,3,edge_4,cloud_0,0
25,0,0,latency,13.4711,81.72306,35.9287,1,edge_0,cloud_0,0
25,1,1,reliability,16.629,105.30125,57.0274,2,edge_2,cloud_0,0
25,2,2,cost,22.2965,129.14759,77.5359,3,edge_4,cloud_0,0
26,0,0,latency,13.3071,83.46,39.9655,1,edge_0,cloud_0,0
26,1,1,reliability,17.0472,102.62646,55.6301,2,edge_2,cloud_0,0
26,2,2,cost,20.9183,124.07305,72.5495,3,edge_4,cloud_0,0
27,0,0,latency,14.5241,82.88805,36.3572,1,edge_0,cloud_0,0
27,1,1,reliability,17.6133,102.61333,56.1941,2,edge_2,cloud_0,0
27,2,2,cost,21.8089,126.36537,74.7699,3,edge_4,cloud_0,0
28,0,0,latency,12.3347,80.24652,37.9185,1,edge_0,cloud_0,0
28,1,1,reliability,15.9412,103.32554,58.8921,2,edge_2,cloud_0,0
28,2,2,cost,20.106,120.40322,71.5488,3,edge_4,cloud_0,0
29,0,0,latency,11.1027,82.328,38.3452,1,edge_0,cloud_0,0
29,1,1,reliability,17.2856,106.37289,58.32,2,edge_2,cloud_0,0
29,2,2,cost,19.8248,124.92856,74.5717,3,edge_4,cloud_0,0
30,0,0,latency,12.8669,80.94744,38.4388,1,edge_0,cloud_0,0
30,1,1,reliability,15.2933,109.80038,60.2126,2,edge_2,cloud_0,0
30,2,2,cost,19.765,123.42894,77.0715,3,edge_4,cloud_0,0
31,0,0,latency,11.7031,76.56906,35.5511,1,edge_0,cloud_0,0
31,1,1,reliability,14.1765,108.33019,61.3019,2,edge_2,cloud_0,0
31,2,2,cost,20.3646,122.27137,73.641,3,edge_4,cloud_0,0
32,0,0,latency,11.0261,84.17781,40.9229,1,edge_0,cloud_0,0
32,1,1,reliability,14.0896,103.80006,56.2105,2,edge_2,cloud_0,0
32,2,2,cost,19.1326,124.5216,73.2108,3,edge_4,cloud_0,0
33,0,0,latency,11.1504,76.61071,37.6731,1,edge_0,cloud_0,0
33,1,1,reliability,15.0099,108.20455,60.815,2,edge_2,cloud_0,0
33,2,2,cost,18.3976,127.80146,75.2879,3,edge_4,cloud_0,0
34,0,0,latency,9.3848,78.65675,37.9026,1,edge_0,cloud_0,0
34,1,1,reliability,13.8941,101.65216,55.5624,2,edge_2,cloud_0,0
34,2,2,cost,17.4099,122.06531,73.3318,3,edge_4,cloud_0,0
35,0,0,latency,11.6791,78.07297,35.3472,1,edge_1,cloud_0,0
35,1,1,reliability,14.4893,100.34238,57.0317,2,edge_3,cloud_0,0
35,2,2,cost,17.7212,126.35142,76.0055,3,edge_0,cloud_0,0
36,0,0,latency,11.3505,85.41262,40.6748,1,edge_1,cloud_0,0
36,1,1,reliability,14.3064,103.09162,56.6081,2,edge_3,cloud_0,0
36,2,2,cost,17.7609,121.52813,74.485,3,edge_0,cloud_0,0
37,0,0,latency,11.0876,78.90904,35.8312,1,edge_1,cloud_0,0
37,1,1,reliability,14.5372,102.89526,58.4565,2,edge_3,cloud_0,0
37,2,2,cost,19.9973,129.20069,77.7537,3,edge_0,cloud_0,0
38,0,0,latency,10.3424,85.57223,37.4252,1,edge_1,cloud_0,0
38,1,1,reliability,13.3979,104.45685,56.8186,2,edge_3,cloud_0,0
38,2,2,cost,18.3649,122.67864,76.4117,3,edge_0,cloud_0,0
39,0,0,latency,10.5712,82.75342,36.6917,1,edge_1,cloud_0,0
39,1,1,reliability,13.022,97.19382,57.6747,2,edge_3,cloud_0,0
39,2,2,cost,17.4752,120.66526,72.9411,3,edge_0,cloud_0,0
40,0,0,latency,10.6312,83.022,37.8115,1,edge_1,cloud_0,0
40,1,1,reliability,13.5691,103.99919,55.0659,2,edge_3,cloud_0,0
40,2,2,cost,20.3213,123.84443,71.4252,3,edge_0,cloud_0,0
41,0,0,latency,10.679,86.24935,41.6738,1,edge_1,cloud_0,0
41,1,1,reliability,17.5951,104.78327,55.6569,2,edge_3,cloud_0,0
41,2,2,cost,18.691,121.20665,74.6831,3,edge_0,cloud_0,0
42,0,0,latency,13.2051,78.88466,36.0263,1,edge_1,cloud_0,0
42,1,1,reliability,15.4259,103.69696,59.5547,2,edge_3,cloud_0,0
42,2,2,cost,19.7699,122.8375,73.2477,3,edge_0,cloud_0,0
43,0,0,latency,12.018,78.73671,35.2502,1,edge_1,cloud_0,0
43,1,1,reliability,15.8318,106.43892,57.4672,2,edge_3,cloud_0,0
43,2,2,cost,20.1054,120.91108,72.8893,3,edge_0,cloud_0,0
44,0,0,latency,12.8372,80.75599,40.0254,1,edge_1,cloud_0,0
44,1,1,reliability,16.5893,105.21734,58.7035,2,edge_3,cloud_0,0
44,2,2,cost,20.5125,120.80336,74.0002,3,edge_0,cloud_0,0
45,0,0,latency,19.2958,118.23038,38.633,1,edge_1,cloud_0,0
45,1,1,reliability,26.183,151.01462,62.1863,2,edge_3,cloud_0,0
45,2,2,cost,33.9073,151.56375,74.7717,3,edge_0,cloud_0,0
46,0,0,latency,19.854,123.59959,35.7752,1,edge_1,cloud_0,1
46,1,1,reliability,27.9952,156.52354,58.5255,2,edge_3,cloud_0,1
46,2,2,cost,34.0042,153.30075,70.5108,3,edge_0,cloud_0,0
47,0,0,latency,21.8188,132.48062,38.9088,1,edge_1,cloud_0,1
47,1,1,reliability,26.9632,145.79785,57.057,2,edge_3,cloud_0,1
47,2,2,cost,34.8373,163.08559,74.1049,3,edge_0,cloud_0,0
48,0,0,latency,21.4663,128.35697,37.793,1,edge_1,cloud_0,1
48,1,1,reliability,28.4734,148.16142,58.3051,2,edge_3,cloud_0,1
48,2,2,cost,36.8272,154.93696,68.8667,3,edge_0,cloud_0,0
49,0,0,latency,22.1337,142.39224,38.353,1,edge_1,cloud_0,1
49,1,1,reliability,29.7352,155.74033,57.2562,2,edge_3,cloud_0,1
49,2,2,cost,35.2683,165.78337,74.656,3,edge_0,cloud_0,0
50,0,0,latency,24.3175,128.82604,34.9323,1,edge_1,cloud_0,1
50,1,1,reliability,30.9988,152.99079,57.3429,2,edge_3,cloud_0,1
50,2,2,cost,37.6309,164.23781,71.8942,3,edge_0,cloud_0,0
51,0,0,latency,23.2594,142.57952,40.6001,1,edge_1,cloud_0,1
51,1,1,reliability,31.5553,163.57949,61.4646,2,edge_3,cloud_0,1
51,2,2,cost,39.5933,167.36992,74.8782,3,edge_0,cloud_0,0
52,0,0,latency,25.4821,138.21018,38.878,1,edge_1,cloud_0,1
52,1,1,reliability,32.4916,168.87223,57.4069,2,edge_3,cloud_0,1
52,2,2,cost,39.6247,176.6124,72.6052,3,edge_0,cloud_0,0
53,0,0,latency,25.3979,137.81647,35.6434,1,edge_1,cloud_0,1
53,1,1,reliability,33.1413,167.87846,57.6187,2,edge_3,cloud_0,1
53,2,2,cost,41.3615,174.94197,75.5017,3,edge_0,cloud_0,0
54,0,0,latency,26.5322,145.36782,39.4615,1,edge_1,cloud_0,1
54,1,1,reliability,31.8782,171.71581,57.8661,2,edge_3,cloud_0,1
54,2,2,cost,40.2582,179.01905,72.9634,3,edge_0,cloud_0,0
55,0,0,latency,26.6965,145.81167,39.2751,1,edge_1,cloud_0,1
55,1,1,reliability,33.1207,164.60194,55.9726,2,edge_3,cloud_0,1
55,2,2,cost,41.8985,168.13934,71.5669,3,edge_0,cloud_0,0
56,0,0,latency,25.2975,134.00054,38.624,1,edge_1,cloud_0,1
56,1,1,reliability,35.0626,166.58587,59.2175,2,edge_3,cloud_0,1
56,2,2,cost,40.6092,177.65831,74.6087,3,edge_0,cloud_0,0
57,0,0,latency,26.1682,151.74735,38.8278,1,edge_1,cloud_0,1
57,1,1,reliability,35.7963,171.28551,53.8735,2,edge_3,cloud_0,1
57,2,2,cost,42.4231,175.42916,75.1818,3,edge_0,cloud_0,0
58,0,0,latency,25.0461,149.83045,40.9519,1,edge_1,cloud_0,1
58,1,1,reliability,35.0632,170.8181,59.6932,2,edge_3,cloud_0,1
58,2,2,cost,42.769,181.54664,75.6275,3,edge_0,cloud_0,0
59,0,0,latency,27.2879,150.4497,38.4658,1,edge_1,cloud_0,1
59,1,1,reliability,35.1171,169.59261,58.5407,2,edge_3,cloud_0,1
59,2,2,cost,42.7352,172.61632,73.7049,3,edge_0,cloud_0,0
60,0,0,latency,26.352,149.91323,38.7668,1,edge_1,cloud_0,1
60,1,1,reliability,35.7834,173.7374,55.8829,2,edge_3,cloud_0,1
60,2,2,cost,43.393,180.95258,76.9629,3,edge_0,cloud_0,0
61,0,0,latency,25.8383,137.927,36.3555,1,edge_1,cloud_0,1
61,1,1,reliability,35.0914,174.55749,59.6888,2,edge_3,cloud_0,1
61,2,2,cost,43.435,180.37894,76.6579,3,edge_0,cloud_0,0
62,0,0,latency,26.9968,142.87212,39.6836,1,edge_1,cloud_0,1
62,1,1,reliability,35.2118,175.52554,62.6553,2,edge_3,cloud_0,1
62,2,2,cost,43.0616,175.42361,69.993,3,edge_0,cloud_0,0
63,0,0,latency,27.394,157.11868,37.0846,1,edge_1,cloud_0,1
63,1,1,reliability,34.5896,180.41688,60.6191,2,edge_3,cloud_0,1
63,2,2,cost,41.6142,179.38703,71.4967,3,edge_0,cloud_0,0
64,0,0,latency,24.5534,149.24506,36.4117,1,edge_1,cloud_0,1
64,1,1,reliability,34.49,178.78862,59.0484,2,edge_3,cloud_0,1
64,2,2,cost,42.6633,179.67235,71.1745,3,edge_0,cloud_0,0
65,0,0,latency,23.6394,148.49253,38.1087,1,edge_1,cloud_0,1
65,1,1,reliability,33.3024,180.75493,58.9188,2,edge_3,cloud_0,1
65,2,2,cost,42.4338,185.53435,74.2765,3,edge_0,cloud_0,0
66,0,0,latency,25.6838,143.60633,38.4584,1,edge_1,cloud_0,1
66,1,1,reliability,33.5598,170.93502,56.5907,2,edge_3,cloud_0,1
66,2,2,cost,41.0521,180.56411,74.3936,3,edge_0,cloud_0,0
67,0,0,latency,25.2626,146.57811,37.2125,1,edge_1,cloud_0,1
67,1,1,reliability,32.9323,174.18851,57.4683,2,edge_3,cloud_0,1
67,2,2,cost,40.3305,170.73162,75.659,3,edge_0,cloud_0,0
68,0,0,latency,22.4926,150.54014,35.4071,1,edge_1,cloud_0,1
68,1,1,reliability,30.6435,169.55011,53.3328,2,edge_3,cloud_0,1
68,2,2,cost,39.0289,177.73064,75.4989,3,edge_0,cloud_0,0
69,0,0,latency,23.299,152.67459,38.3956,1,edge_1,cloud_0,1
69,1,1,reliability,31.9605,173.7715,60.6554,2,edge_3,cloud_0,1
69,2,2,cost,38.5961,179.23429,76.7072,3,edge_0,cloud_0,0
70,0,0,latency,14.8709,92.6925,36.3252,1,edge_2,cloud_0,1
70,1,1,reliability,19.0779,116.50889,55.0389,2,edge_4,cloud_0,1
70,2,2,cost,23.5991,134.54316,73.284,3,edge_1,cloud_0,0
71,0,0,latency,15.0449,99.1917,41.4415,1,edge_2,cloud_0,0
71,1,1,reliability,17.9255,116.83042,58.7857,2,edge_4,cloud_0,0
71,2,2,cost,22.828,134.60931,74.9494,3,edge_1,cloud_0,0
72,0,0,latency,13.8951,84.04837,34.3382,1,edge_2,cloud_0,0
72,1,1,reliability,19.2426,114.14369,56.79,2,edge_4,cloud_0,0
72,2,2,cost,22.5729,124.97909,71.8605,3,edge_1,cloud_0,0
73,0,0,latency,13.0746,89.65749,38.8558,1,edge_2,cloud_0,0
73,1,1,reliability,17.8174,110.97033,58.6573,2,edge_4,cloud_0,0
73,2,2,cost,22.6291,128.90329,76.6413,3,edge_1,cloud_0,0
74,0,0,latency,12.9286,82.00301,35.0463,1,edge_2,cloud_0,0
74,1,1,reliability,18.3004,107.29933,57.337,2,edge_4,cloud_0,0
74,2,2,cost,22.582,128.07528,74.7668,3,edge_1,cloud_0,0
75,0,0,latency,12.7164,80.16626,38.6976,1,edge_2,cloud_0,0
75,1,1,reliability,18.5033,109.64275,62.154,2,edge_4,cloud_0,0
75,2,2,cost,21.1191,125.62008,74.3204,3,edge_1,cloud_0,0
76,0,0,latency,13.321,82.87847,36.3087,1,edge_2,cloud_0,0
76,1,1,reliability,16.7315,108.05805,57.9483,2,edge_4,cloud_0,0
76,2,2,cost,20.7211,121.70352,72.3333,3,edge_1,cloud_0,0
77,0,0,latency,10.8534,78.59811,33.854,1,edge_2,cloud_0,0
77,1,1,reliability,15.1284,105.91515,57.0826,2,edge_4,cloud_0,0
77,2,2,cost,19.6851,125.93201,77.8745,3,edge_1,cloud_0,0
78,0,0,latency,12.7069,81.28011,36.0758,1,edge_2,cloud_0,0
78,1,1,reliability,15.9002,103.31907,57.1858,2,edge_4,cloud_0,0
78,2,2,cost,19.1945,128.63524,74.3707,3,edge_1,cloud_0,0
79,0,0,latency,12.0518,85.89983,37.3215,1,edge_2,cloud_0,0
79,1,1,reliability,16.1221,103.00133,55.7161,2,edge_4,cloud_0,0
79,2,2,cost,18.9907,128.65384,79.1953,3,edge_1,cloud_0,0
80,0,0,latency,11.5111,83.45739,40.8664,1,edge_2,cloud_0,0
80,1,1,reliability,15.0485,103.97651,59.1616,2,edge_4,cloud_0,0
80,2,2,cost,18.5725,121.46945,73.6592,3,edge_1,cloud_0,0
81,0,0,latency,10.5309,80.72625,38.8606,1,edge_2,cloud_0,0
81,1,1,reliability,14.0586,101.32225,59.3312,2,edge_4,cloud_0,0
81,2,2,cost,19.1934,124.66659,74.7331,3,edge_1,cloud_0,0
82,0,0,latency,10.7959,83.52132,38.9079,1,edge_2,cloud_0,0
82,1,1,reliability,14.3217,106.21332,59.8711,2,edge_4,cloud_0,0
82,2,2,cost,16.6473,119.39314,73.3288,3,edge_1,cloud_0,0
83,0,0,latency,9.3537,81.07488,35.0099,1,edge_2,cloud_0,0
83,1,1,reliability,15.5559,106.51933,59.7904,2,edge_4,cloud_0,0
83,2,2,cost,17.4077,119.50664,70.995,3,edge_1,cloud_0,0
84,0,0,latency,8.5484,82.15268,36.913,1,edge_2,cloud_0,0
84,1,1,reliability,16.3663,107.1774,58.8698,2,edge_4,cloud_0,0
84,2,2,cost,17.4923,120.22713,74.9302,3,edge_1,cloud_0,0
85,0,0,latency,9.6976,81.18476,37.4054,1,edge_2,cloud_0,0
85,1,1,reliability,14.5444,103.03536,57.8278,2,edge_4,cloud_0,0
85,2,2,cost,18.6159,126.06725,74.6893,3,edge_1,cloud_0,0
86,0,0,latency,11.5596,76.4867,36.6233,1,edge_2,cloud_0,0
86,1,1,reliability,15.2869,105.85538,61.2579,2,edge_4,cloud_0,0
86,2,2,cost,17.3363,117.93355,72.2246,3,edge_1,cloud_0,0
87,0,0,latency,12.2231,79.99714,37.6173,1,edge_2,cloud_0,0
87,1,1,reliability,15.8629,104.55803,57.1149,2,edge_4,cloud_0,0
87,2,2,cost,19.4892,123.10638,74.263,3,edge_1,cloud_0,0
88,0,0,latency,11.5392,83.71583,41.1294,1,edge_2,cloud_0,0
88,1,1,reliability,14.6859,100.98626,56.1178,2,edge_4,cloud_0,0
88,2,2,cost,18.2591,123.07555,74.9047,3,edge_1,cloud_0,0
89,0,0,latency,10.3039,81.81017,39.2749,1,edge_2,cloud_0,0
89,1,1,reliability,14.84,103.42875,60.2956,2,edge_4,cloud_0,0
89,2,2,cost,17.0702,118.68331,72.4269,3,edge_1,cloud_0,0
90,0,0,latency,10.4729,76.08942,36.3475,1,edge_2,cloud_0,0
90,1,1,reliability,15.8202,101.97384,57.6415,2,edge_4,cloud_0,0
90,2,2,cost,19.2193,122.83851,73.6816,3,edge_1,cloud_0,0
91,0,0,latency,12.2877,77.85325,35.9829,1,edge_2,cloud_0,0
91,1,1,reliability,16.5878,102.99392,59.3253,2,edge_4,cloud_0,0
91,2,2,cost,20.2277,118.10579,75.1131,3,edge_1,cloud_0,0
92,0,0,latency,12.6971,85.39123,42.0701,1,edge_2,cloud_0,0
92,1,1,reliability,16.3953,105.17434,57.3858,2,edge_4,cloud_0,0
92,2,2,cost,19.8672,119.08992,71.9355,3,edge_1,cloud_0,0
93,0,0,latency,11.8258,79.0594,36.2224,1,edge_2,cloud_0,0
93,1,1,reliability,16.8859,108.01339,58.6686,2,edge_4,cloud_0,0
93,2,2,cost,21.1045,122.72461,72.4689,3,edge_1,cloud_0,0
94,0,0,latency,13.923,84.74079,39.4788,1,edge_2,cloud_0,0
94,1,1,reliability,17.3189,104.98414,56.6942,2,edge_4,cloud_0,0
94,2,2,cost,22.1291,125.31036,74.3759,3,edge_1,cloud_0,0
95,0,0,latency,12.4395,84.67562,37.864,1,edge_2,cloud_0,0
95,1,1,reliability,18.1784,106.50552,56.2006,2,edge_4,cloud_0,0
95,2,2,cost,22.4914,118.52087,71.0904,3,edge_1,cloud_0,0
96,0,0,latency,15.0689,90.11378,40.4959,1,edge_2,cloud_0,0
96,1,1,reliability,18.298,107.23804,58.7269,2,edge_4,cloud_0,0
96,2,2,cost,21.0721,118.90072,71.6873,3,edge_1,cloud_0,0
97,0,0,latency,14.167,82.7088,35.8557,1,edge_2,cloud_0,0
97,1,1,reliability,19.6028,107.22774,61.9946,2,edge_4,cloud_0,0
97,2,2,cost,22.7192,119.69857,72.3251,3,edge_1,cloud_0,0
98,0,0,latency,14.9855,90.99363,41.2222,1,edge_2,cloud_0,0
98,1,1,reliability,18.5755,104.6967,58.4981,2,edge_4,cloud_0,0
98,2,2,cost,25.7667,127.45384,70.6965,3,edge_1,cloud_0,0
99,0,0,latency,14.1538,84.14977,37.1528,1,edge_2,cloud_0,0
99,1,1,reliability,19.6411,104.61872,59.6252,2,edge_4,cloud_0,0
99,2,2,cost,25.1297,125.48018,70.4501,3,edge_1,cloud_0,0
100,0,0,latency,15.9523,85.94427,36.8449,1,edge_2,cloud_0,0
100,1,1,reliability,21.5546,105.485,56.7448,2,edge_4,cloud_0,0
100,2,2,cost,25.0207,133.3609,75.0823,3,edge_1,cloud_0,0
101,0,0,latency,16.4853,86.55712,38.8962,1,edge_2,cloud_0,0
101,1,1,reliability,19.6292,109.37274,59.0761,2,edge_4,cloud_0,0
101,2,2,cost,25.2529,128.51129,74.4706,3,edge_1,cloud_0,0
102,0,0,latency,15.0389,87.5292,38.8926,1,edge_2,cloud_0,0
102,1,1,reliability,20.7326,100.2102,55.4347,2,edge_4,cloud_0,0
102,2,2,cost,27.149,135.06049,74.4833,3,edge_1,cloud_0,0
103,0,0,latency,15.9523,87.22655,40.9024,1,edge_2,cloud_0,0
103,1,1,reliability,21.3764,110.72997,58.0642,2,edge_4,cloud_0,0
103,2,2,cost,27.2295,128.00038,72.7607,3,edge_1,cloud_0,0
104,0,0,latency,17.0443,85.0055,36.9331,1,edge_2,cloud_0,0
104,1,1,reliability,21.6954,113.38509,60.7253,2,edge_4,cloud_0,0
104,2,2,cost,26.5496,121.83642,69.1744,3,edge_1,cloud_0,0
105,0,0,latency,18.1343,92.20589,43.0987,1,edge_3,cloud_0,0
105,1,1,reliability,21.936,104.80792,54.1263,2,edge_0,cloud_0,0
105,2,2,cost,27.4264,126.57789,73.4276,3,edge_2,cloud_0,0
106,0,0,latency,16.8231,82.86275,35.7732,1,edge_3,cloud_0,0
106,1,1,reliability,22.895,111.94838,59.049,2,edge_0,cloud_0,0
106,2,2,cost,26.6921,133.90628,75.3984,3,edge_2,cloud_0,0
107,0,0,latency,18.6958,89.09573,38.3439,1,edge_3,cloud_0,0
107,1,1,reliability,22.2653,113.17939,57.716,2,edge_0,cloud_0,0
107,2,2,cost,28.5089,128.3122,70.5387,3,edge_2,cloud_0,0
108,0,0,latency,17.2115,86.58403,37.2191,1,edge_3,cloud_0,0
108,1,1,reliability,24.0483,114.47769,57.6517,2,edge_0,cloud_0,0
108,2,2,cost,29.3943,132.69967,71.7925,3,edge_2,cloud_0,0
109,0,0,latency,17.5235,92.39467,38.6388,1,edge_3,cloud_0,0
109,1,1,reliability,21.8399,112.54521,58.3548,2,edge_0,cloud_0,0
109,2,2,cost,28.9867,135.52319,73.3524,3,edge_2,cloud_0,0
110,0,0,latency,15.6215,96.5394,37.9649,1,edge_3,cloud_0,0
110,1,1,reliability,21.7094,121.09974,57.3153,2,edge_0,cloud_0,0
110,2,2,cost,27.8223,129.31887,70.5887,3,edge_2,cloud_0,0
111,0,0,latency,15.553,87.83421,38.9641,1,edge_3,cloud_0,0
111,1,1,reliability,21.842,118.422,52.8705,2,edge_0,cloud_0,0
111,2,2,cost,28.3027,140.61619,74.5447,3,edge_2,cloud_0,0
112,0,0,latency,16.0963,94.74856,35.3663,1,edge_3,cloud_0,0
112,1,1,reliability,22.6934,126.30889,58.6987,2,edge_0,cloud_0,0
112,2,2,cost,29.2882,137.06107,74.8404,3,edge_2,cloud_0,0
113,0,0,latency,16.7537,86.17702,37.6661,1,edge_3,cloud_0,0
113,1,1,reliability,22.3824,116.08241,59.2502,2,edge_0,cloud_0,0
113,2,2,cost,28.0157,134.90446,72.9574,3,edge_2,cloud_0,0
114,0,0,latency,15.8296,91.97766,37.0418,1,edge_3,cloud_0,0
114,1,1,reliability,22.0106,118.285,60.9967,2,edge_0,cloud_0,0
114,2,2,cost,26.2109,138.86818,73.1505,3,edge_2,cloud_0,0
115,0,0,latency,39.145,172.44785,37.5085,1,edge_3,cloud_0,0
115,1,1,reliability,52.1569,202.2318,53.4964,2,edge_0,cloud_0,0
115,2,2,cost,63.2355,227.13059,72.4352,3,edge_2,cloud_0,0
116,0,0,latency,36.2167,176.47045,36.0727,1,edge_3,cloud_0,1
116,1,1,reliability,49.5786,198.62011,57.5978,2,edge_0,cloud_0,1
116,2,2,cost,63.4389,222.38895,73.5099,3,edge_2,cloud_0,1
117,0,0,latency,36.3631,171.67362,37.8861,1,edge_3,cloud_0,1
117,1,1,reliability,49.9803,198.68069,56.0481,2,edge_0,cloud_0,1
117,2,2,cost,60.3657,229.23882,75.1171,3,edge_2,cloud_0,1
118,0,0,latency,36.0758,174.92071,39.295,1,edge_3,cloud_0,1
