time,node_id,node_type,cpu_util,mem_util,queue_len,available_cpu,available_mem,request_load_on_node,node_degree
4,cloud_0,cloud,0.42729,0.4694,0.0,0.57271,0.5306,0.6,5
5,access_0,access,0.2955,0.29499,0.0,0.7045,0.70501,0.36,5
5,access_1,access,0.28461,0.27837,0.0,0.71539,0.72163,0.36,5
5,edge_0,edge,0.60891,0.52415,7.72476,0.39109,0.47585,0.45,5
5,edge_1,edge,0.59999,0.51288,4.81387,0.40001,0.48712,0.53,5
5,edge_2,edge,0.60278,0.53599,6.01177,0.39722,0.46401,0.61,5
5,edge_3,edge,0.53977,0.59119,3.32458,0.46023,0.40881,0.69,5
5,edge_4,edge,0.60528,0.54002,6.40858,0.39472,0.45998,0.77,5
5,cloud_0,cloud,0.44427,0.50409,0.0,0.55573,0.49591,0.6,5
6,access_0,access,0.2828,0.28575,0.0,0.7172,0.71425,0.36,5
6,access_1,access,0.28399,0.28602,0.0,0.71601,0.71398,0.36,5
6,edge_0,edge,0.60902,0.61868,8.3545,0.39098,0.38132,0.45,5
6,edge_1,edge,0.65629,0.65714,12.13308,0.34371,0.34286,0.53,5
6,edge_2,edge,0.68675,0.60595,12.3336,0.31325,0.39405,0.61,5
6,edge_3,edge,0.64443,0.60996,8.43869,0.35557,0.39004,0.69,5
6,edge_4,edge,0.6538,0.62169,10.41731,0.3462,0.37831,0.77,5
6,cloud_0,cloud,0.47376,0.49492,0.0,0.52624,0.50508,0.6,5
7,access_0,access,0.26677,0.29135,0.0,0.73323,0.70865,0.36,5
7,access_1,access,0.28257,0.28341,0.0,0.71743,0.71659,0.36,5
7,edge_0,edge,0.60788,0.60623,8.51207,0.39212,0.39377,0.45,5
7,edge_1,edge,0.63642,0.59859,8.76157,0.36358,0.40141,0.53,5
7,edge_2,edge,0.64101,0.5757,11.82893,0.35899,0.4243,0.61,5
7,edge_3,edge,0.65998,0.62389,11.56683,0.34002,0.37611,0.69,5
7,edge_4,edge,0.60471,0.59024,6.14933,0.39529,0.40976,0.77,5
7,cloud_0,cloud,0.47445,0.47927,0.0,0.52555,0.52073,0.6,5
8,access_0,access,0.28311,0.28192,0.0,0.71689,0.71808,0.36,5
8,access_1,access,0.28623,0.27926,0.0,0.71377,0.72074,0.36,5
8,edge_0,edge,0.6121,0.58206,6.73787,0.3879,0.41794,0.45,5
8,edge_1,edge,0.60752,0.55215,5.57174,0.39248,0.44785,0.53,5
8,edge_2,edge,0.57003,0.51413,3.84554,0.42997,0.48587,0.61,5
8,edge_3,edge,0.61649,0.53723,8.61379,0.38351,0.46277,0.69,5
8,edge_4,edge,0.61071,0.57462,7.58165,0.38929,0.42538,0.77,5
8,cloud_0,cloud,0.42919,0.46696,0.0,0.57081,0.53304,0.6,5
9,access_0,access,0.27357,0.27723,0.0,0.72643,0.72277,0.36,5
9,access_1,access,0.28806,0.27402,0.0,0.71194,0.72598,0.36,5
9,edge_0,edge,0.58482,0.60133,5.82103,0.41518,0.39867,0.45,5
9,edge_1,edge,0.62183,0.55569,7.17061,0.37817,0.44431,0.53,5
9,edge_2,edge,0.62025,0.59092,7.76536,0.37975,0.40908,0.61,5
9,edge_3,edge,0.55695,0.55083,4.02269,0.44305,0.44917,0.69,5
9,edge_4,edge,0.57474,0.56632,4.72397,0.42526,0.43368,0.77,5
9,cloud_0,cloud,0.45397,0.46972,0.0,0.54603,0.53028,0.6,5
10,access_0,access,0.26925,0.26349,0.0,0.73075,0.73651,0.36,5
10,access_1,access,0.27376,0.27329,0.0,0.72624,0.72671,0.36,5
10,edge_0,edge,0.59842,0.59971,6.8209,0.40158,0.40029,0.45,5
10,edge_1,edge,0.66496,0.59693,10.90251,0.33504,0.40307,0.53,5
10,edge_2,edge,0.63717,0.60338,10.6317,0.36283,0.39662,0.61,5
10,edge_3,edge,0.67159,0.58547,13.22186,0.32841,0.41453,0.69,5
10,edge_4,edge,0.62067,0.57236,7.58549,0.37933,0.42764,0.77,5
10,cloud_0,cloud,0.44101,0.46308,0.0,0.55899,0.53692,0.6,5
11,access_0,access,0.29288,0.26886,0.0,0.70712,0.73114,0.36,5
11,access_1,access,0.28668,0.2664,0.0,0.71332,0.7336,0.36,5
11,edge_0,edge,0.62468,0.57581,7.81559,0.37532,0.42419,0.45,5
11,edge_1,edge,0.61837,0.56183,8.35227,0.38163,0.43817,0.53,5
11,edge_2,edge,0.60588,0.60522,7.11206,0.39412,0.39478,0.61,5
11,edge_3,edge,0.55148,0.56259,3.42346,0.44852,0.43741,0.69,5
11,edge_4,edge,0.61235,0.59008,8.10225,0.38765,0.40992,0.77,5
11,cloud_0,cloud,0.41391,0.46764,0.0,0.58609,0.53236,0.6,5
12,access_0,access,0.27684,0.28109,0.0,0.72316,0.71891,0.36,5
12,access_1,access,0.27119,0.26632,0.0,0.72881,0.73368,0.36,5
12,edge_0,edge,0.64178,0.64015,9.18016,0.35822,0.35985,0.45,5
12,edge_1,edge,0.63808,0.63689,8.92299,0.36192,0.36311,0.53,5
12,edge_2,edge,0.58019,0.62494,6.4638,0.41981,0.37506,0.61,5
12,edge_3,edge,0.66358,0.60991,10.59934,0.33642,0.39009,0.69,5
12,edge_4,edge,0.63536,0.6505,9.49,0.36464,0.3495,0.77,5
12,cloud_0,cloud,0.44364,0.47344,0.0,0.55636,0.52656,0.6,5
13,access_0,access,0.29177,0.28335,0.0,0.70823,0.71665,0.36,5
13,access_1,access,0.29484,0.28653,0.0,0.70516,0.71347,0.36,5
13,edge_0,edge,0.65224,0.61928,10.14681,0.34776,0.38072,0.45,5
13,edge_1,edge,0.61932,0.61674,9.45288,0.38068,0.38326,0.53,5
13,edge_2,edge,0.58307,0.64288,4.6592,0.41693,0.35712,0.61,5
13,edge_3,edge,0.67526,0.59981,11.8453,0.32474,0.40019,0.69,5
13,edge_4,edge,0.62759,0.61955,9.49052,0.37241,0.38045,0.77,5
13,cloud_0,cloud,0.43216,0.47402,0.0,0.56784,0.52598,0.6,5
14,access_0,access,0.29351,0.29483,0.0,0.70649,0.70517,0.36,5
14,access_1,access,0.25168,0.27626,0.0,0.74832,0.72374,0.36,5
14,edge_0,edge,0.60964,0.58118,6.46569,0.39036,0.41882,0.45,5
14,edge_1,edge,0.56682,0.56264,4.62742,0.43318,0.43736,0.53,5
14,edge_2,edge,0.57386,0.58361,5.19664,0.42614,0.41639,0.61,5
14,edge_3,edge,0.56502,0.57258,3.60738,0.43498,0.42742,0.69,5
14,edge_4,edge,0.60489,0.56712,6.57032,0.39511,0.43288,0.77,5
14,cloud_0,cloud,0.44532,0.47975,0.0,0.55468,0.52025,0.6,5
15,access_0,access,0.26405,0.26822,0.0,0.73595,0.73178,0.36,5
15,access_1,access,0.27761,0.26622,0.0,0.72239,0.73378,0.36,5
15,edge_0,edge,0.55812,0.56279,4.89713,0.44188,0.43721,0.45,5
15,edge_1,edge,0.55019,0.55781,3.65841,0.44981,0.44219,0.53,5
15,edge_2,edge,0.53645,0.53953,3.47211,0.46355,0.46047,0.61,5
15,edge_3,edge,0.52724,0.53518,4.64788,0.47276,0.46482,0.69,5
15,edge_4,edge,0.53282,0.53209,2.77967,0.46718,0.46791,0.77,5
15,cloud_0,cloud,0.42141,0.48683,0.0,0.57859,0.51317,0.6,5
16,access_0,access,0.28588,0.28367,0.0,0.71412,0.71633,0.36,5
16,access_1,access,0.27256,0.27106,0.0,0.72744,0.72894,0.36,5
16,edge_0,edge,0.51912,0.55042,1.0463,0.48088,0.44958,0.45,5
16,edge_1,edge,0.53262,0.57329,3.38017,0.46738,0.42671,0.53,5
16,edge_2,edge,0.56138,0.57164,3.96511,0.43862,0.42836,0.61,5
16,edge_3,edge,0.55059,0.54757,3.43599,0.44941,0.45243,0.69,5
16,edge_4,edge,0.62515,0.54692,8.89976,0.37485,0.45308,0.77,5
16,cloud_0,cloud,0.43095,0.47769,0.0,0.56905,0.52231,0.6,5
17,access_0,access,0.2993,0.269,0.0,0.7007,0.731,0.36,5
17,access_1,access,0.28306,0.26308,0.0,0.71694,0.73692,0.36,5
17,edge_0,edge,0.54823,0.49204,2.6455,0.45177,0.50796,0.45,5
17,edge_1,edge,0.52018,0.488,0.73797,0.47982,0.512,0.53,5
17,edge_2,edge,0.55102,0.5534,3.72235,0.44898,0.4466,0.61,5
17,edge_3,edge,0.5441,0.53063,2.46865,0.4559,0.46937,0.69,5
17,edge_4,edge,0.52615,0.50139,2.06367,0.47385,0.49861,0.77,5
17,cloud_0,cloud,0.42398,0.48618,0.0,0.57602,0.51382,0.6,5
18,access_0,access,0.29933,0.28081,0.0,0.70067,0.71919,0.36,5
18,access_1,access,0.26877,0.2821,0.0,0.73123,0.7179,0.36,5
18,edge_0,edge,0.47141,0.52184,0.0,0.52859,0.47816,0.45,5
18,edge_1,edge,0.56118,0.53697,3.33622,0.43882,0.46303,0.53,5
18,edge_2,edge,0.52826,0.54087,3.61521,0.47174,0.45913,0.61,5
18,edge_3,edge,0.51209,0.51432,0.0,0.48791,0.48568,0.69,5
18,edge_4,edge,0.47767,0.52515,0.0,0.52233,0.47485,0.77,5
18,cloud_0,cloud,0.44813,0.47335,0.0,0.55187,0.52665,0.6,5
19,access_0,access,0.28593,0.28011,0.0,0.71407,0.71989,0.36,5
19,access_1,access,0.27209,0.2691,0.0,0.72791,0.7309,0.36,5
19,edge_0,edge,0.53806,0.53969,2.26853,0.46194,0.46031,0.45,5
19,edge_1,edge,0.5325,0.54007,1.51941,0.4675,0.45993,0.53,5
19,edge_2,edge,0.51721,0.53168,1.22881,0.48279,0.46832,0.61,5
19,edge_3,edge,0.51926,0.52796,2.11234,0.48074,0.47204,0.69,5
19,edge_4,edge,0.50509,0.51838,0.0,0.49491,0.48162,0.77,5
19,cloud_0,cloud,0.4463,0.47197,0.0,0.5537,0.52803,0.6,5
20,access_0,access,0.27345,0.27054,0.0,0.72655,0.72946,0.36,5
20,access_1,access,0.30013,0.28085,0.0,0.69987,0.71915,0.36,5
20,edge_0,edge,0.49524,0.47238,0.0,0.50476,0.52762,0.45,5
20,edge_1,edge,0.45008,0.4908,0.0,0.54992,0.5092,0.53,5
20,edge_2,edge,0.45091,0.45083,0.0,0.54909,0.54917,0.61,5
20,edge_3,edge,0.49572,0.49046,0.30941,0.50428,0.50954,0.69,5
20,edge_4,edge,0.44439,0.46831,0.0,0.55561,0.53169,0.77,5
20,cloud_0,cloud,0.42331,0.46313,0.0,0.57669,0.53687,0.6,5
21,access_0,access,0.2702,0.28809,0.0,0.7298,0.71191,0.36,5
21,access_1,access,0.26514,0.28121,0.0,0.73486,0.71879,0.36,5
21,edge_0,edge,0.51382,0.53336,0.04988,0.48618,0.46664,0.45,5
21,edge_1,edge,0.47645,0.54934,0.0,0.52355,0.45066,0.53,5
21,edge_2,edge,0.49988,0.55411,0.0,0.50012,0.44589,0.61,5
21,edge_3,edge,0.50636,0.51271,0.48198,0.49364,0.48729,0.69,5
21,edge_4,edge,0.47665,0.55414,0.0,0.52335,0.44586,0.77,5
21,cloud_0,cloud,0.43812,0.45089,0.0,0.56188,0.54911,0.6,5
22,access_0,access,0.29346,0.29446,0.0,0.70654,0.70554,0.36,5
22,access_1,access,0.25859,0.27436,0.0,0.74141,0.72564,0.36,5
22,edge_0,edge,0.50034,0.47724,0.0,0.49966,0.52276,0.45,5
22,edge_1,edge,0.51048,0.46378,1.52021,0.48952,0.53622,0.53,5
22,edge_2,edge,0.47076,0.49489,0.0,0.52924,0.50511,0.61,5
22,edge_3,edge,0.51203,0.4983,0.0,0.48797,0.5017,0.69,5
22,edge_4,edge,0.5019,0.49505,0.0,0.4981,0.50495,0.77,5
22,cloud_0,cloud,0.44761,0.46367,0.0,0.55239,0.53633,0.6,5
23,access_0,access,0.29656,0.28214,0.0,0.70344,0.71786,0.36,5
23,access_1,access,0.25703,0.27413,0.0,0.74297,0.72587,0.36,5
23,edge_0,edge,0.47811,0.51499,0.0,0.52189,0.48501,0.45,5
23,edge_1,edge,0.4656,0.46318,0.0,0.5344,0.53682,0.53,5
23,edge_2,edge,0.4669,0.48726,0.0,0.5331,0.51274,0.61,5
23,edge_3,edge,0.46859,0.49697,0.0,0.53141,0.50303,0.69,5
23,edge_4,edge,0.48896,0.48541,0.67207,0.51104,0.51459,0.77,5
23,cloud_0,cloud,0.42333,0.45597,0.0,0.57667,0.54403,0.6,5
24,access_0,access,0.28372,0.27088,0.0,0.71628,0.72912,0.36,5
24,access_1,access,0.28456,0.2719,0.0,0.71544,0.7281,0.36,5
24,edge_0,edge,0.44671,0.40736,0.0,0.55329,0.59264,0.45,5
24,edge_1,edge,0.39986,0.42476,0.0,0.60014,0.57524,0.53,5
24,edge_2,edge,0.37414,0.43108,0.0,0.62586,0.56892,0.61,5
24,edge_3,edge,0.43941,0.4531,0.0,0.56059,0.5469,0.69,5
24,edge_4,edge,0.40464,0.41984,0.0,0.59536,0.58016,0.77,5
24,cloud_0,cloud,0.42021,0.4539,0.0,0.57979,0.5461,0.6,5
25,access_0,access,0.2973,0.28228,0.0,0.7027,0.71772,0.36,5
25,access_1,access,0.26719,0.282,0.0,0.73281,0.718,0.36,5
25,edge_0,edge,0.4136,0.44792,0.0,0.5864,0.55208,0.45,5
25,edge_1,edge,0.44862,0.47365,0.0,0.55138,0.52635,0.53,5
25,edge_2,edge,0.44244,0.44987,0.0,0.55756,0.55013,0.61,5
25,edge_3,edge,0.44254,0.44496,0.0,0.55746,0.55504,0.69,5
25,edge_4,edge,0.41144,0.44719,0.0,0.58856,0.55281,0.77,5
25,cloud_0,cloud,0.41373,0.47523,0.0,0.58627,0.52477,0.6,5
26,access_0,access,0.28009,0.282,0.0,0.71991,0.718,0.36,5
26,access_1,access,0.28627,0.29466,0.0,0.71373,0.70534,0.36,5
26,edge_0,edge,0.39499,0.39134,0.0,0.60501,0.60866,0.45,5
26,edge_1,edge,0.38152,0.35318,0.0,0.61848,0.64682,0.53,5
26,edge_2,edge,0.40821,0.41388,0.0,0.59179,0.58612,0.61,5
26,edge_3,edge,0.40479,0.36763,0.0,0.59521,0.63237,0.69,5
26,edge_4,edge,0.37807,0.36101,0.0,0.62193,0.63899,0.77,5
26,cloud_0,cloud,0.40133,0.44092,0.0,0.59867,0.55908,0.6,5
27,access_0,access,0.30237,0.28642,0.0,0.69763,0.71358,0.36,5
27,access_1,access,0.26586,0.26731,0.0,0.73414,0.73269,0.36,5
27,edge_0,edge,0.39218,0.38931,0.0,0.60782,0.61069,0.45,5
27,edge_1,edge,0.36389,0.4201,0.0,0.63611,0.5799,0.53,5
27,edge_2,edge,0.39461,0.39007,0.0,0.60539,0.60993,0.61,5
27,edge_3,edge,0.39396,0.41532,0.0,0.60604,0.58468,0.69,5
27,edge_4,edge,0.41086,0.38851,0.0,0.58914,0.61149,0.77,5
27,cloud_0,cloud,0.40758,0.44792,0.0,0.59242,0.55208,0.6,5
28,access_0,access,0.27543,0.28711,0.0,0.72457,0.71289,0.36,5
28,access_1,access,0.26075,0.28982,0.0,0.73925,0.71018,0.36,5
28,edge_0,edge,0.40006,0.39514,0.0,0.59994,0.60486,0.45,5
28,edge_1,edge,0.37335,0.38814,0.0,0.62665,0.61186,0.53,5
28,edge_2,edge,0.35162,0.38571,0.0,0.64838,0.61429,0.61,5
28,edge_3,edge,0.31757,0.37723,0.0,0.68243,0.62277,0.69,5
28,edge_4,edge,0.36328,0.36975,0.0,0.63672,0.63025,0.77,5
28,cloud_0,cloud,0.41258,0.41632,0.0,0.58742,0.58368,0.6,5
29,access_0,access,0.28069,0.26515,0.0,0.71931,0.73485,0.36,5
29,access_1,access,0.27082,0.2778,0.0,0.72918,0.7222,0.36,5
29,edge_0,edge,0.36559,0.33752,0.0,0.63441,0.66248,0.45,5
29,edge_1,edge,0.35039,0.37607,0.0,0.64961,0.62393,0.53,5
29,edge_2,edge,0.3404,0.37518,0.0,0.6596,0.62482,0.61,5
29,edge_3,edge,0.35904,0.37893,0.0,0.64096,0.62107,0.69,5
29,edge_4,edge,0.37663,0.32491,0.0,0.62337,0.67509,0.77,5
29,cloud_0,cloud,0.41814,0.43767,0.0,0.58186,0.56233,0.6,5
30,access_0,access,0.2829,0.27981,0.0,0.7171,0.72019,0.36,5
30,access_1,access,0.27876,0.27391,0.0,0.72124,0.72609,0.36,5
30,edge_0,edge,0.35515,0.36485,0.0,0.64485,0.63515,0.45,5
30,edge_1,edge,0.32718,0.3742,0.0,0.67282,0.6258,0.53,5
30,edge_2,edge,0.36383,0.36648,0.0,0.63617,0.63352,0.61,5
30,edge_3,edge,0.36248,0.38131,0.0,0.63752,0.61869,0.69,5
30,edge_4,edge,0.34315,0.37574,0.0,0.65685,0.62426,0.77,5
30,cloud_0,cloud,0.41694,0.43409,0.0,0.58306,0.56591,0.6,5
31,access_0,access,0.27826,0.28398,0.0,0.72174,0.71602,0.36,5
31,access_1,access,0.297,0.28952,0.0,0.703,0.71048,0.36,5
31,edge_0,edge,0.29602,0.29211,0.0,0.70398,0.70789,0.45,5
31,edge_1,edge,0.31359,0.31416,0.0,0.68641,0.68584,0.53,5
31,edge_2,edge,0.35179,0.30801,0.0,0.64821,0.69199,0.61,5
31,edge_3,edge,0.29578,0.3094,0.0,0.70422,0.6906,0.69,5
31,edge_4,edge,0.30212,0.29858,0.0,0.69788,0.70142,0.77,5
31,cloud_0,cloud,0.40709,0.40478,0.0,0.59291,0.59522,0.6,5
32,access_0,access,0.28826,0.28723,0.0,0.71174,0.71277,0.36,5
32,access_1,access,0.27257,0.26829,0.0,0.72743,0.73171,0.36,5
32,edge_0,edge,0.26823,0.29138,0.0,0.73177,0.70862,0.45,5
32,edge_1,edge,0.30308,0.35045,0.0,0.69692,0.64955,0.53,5
32,edge_2,edge,0.30295,0.33286,0.0,0.69705,0.66714,0.61,5
32,edge_3,edge,0.29062,0.34446,0.0,0.70938,0.65554,0.69,5
32,edge_4,edge,0.30077,0.3054,0.0,0.69923,0.6946,0.77,5
32,cloud_0,cloud,0.38437,0.45205,0.0,0.61563,0.54795,0.6,5
33,access_0,access,0.26723,0.2901,0.0,0.73277,0.7099,0.36,5
33,access_1,access,0.29169,0.27023,0.0,0.70831,0.72977,0.36,5
33,edge_0,edge,0.29946,0.35106,0.0,0.70054,0.64894,0.45,5
33,edge_1,edge,0.32059,0.32982,0.0,0.67941,0.67018,0.53,5
33,edge_2,edge,0.31359,0.35806,0.0,0.68641,0.64194,0.61,5
33,edge_3,edge,0.33318,0.37824,0.0,0.66682,0.62176,0.69,5
33,edge_4,edge,0.30557,0.30135,0.0,0.69443,0.69865,0.77,5
33,cloud_0,cloud,0.38874,0.46153,0.0,0.61126,0.53847,0.6,5
34,access_0,access,0.28767,0.29928,0.0,0.71233,0.70072,0.36,5
34,access_1,access,0.27508,0.26711,0.0,0.72492,0.73289,0.36,5
34,edge_0,edge,0.32617,0.3986,0.0,0.67383,0.6014,0.45,5
34,edge_1,edge,0.36085,0.38475,0.0,0.63915,0.61525,0.53,5
34,edge_2,edge,0.36272,0.36995,0.0,0.63728,0.63005,0.61,5
34,edge_3,edge,0.35459,0.3952,0.0,0.64541,0.6048,0.69,5
34,edge_4,edge,0.36079,0.40437,0.0,0.63921,0.59563,0.77,5
34,cloud_0,cloud,0.40176,0.44049,0.0,0.59824,0.55951,0.6,5
35,access_0,access,0.29108,0.27062,0.0,0.70892,0.72938,0.36,5
35,access_1,access,0.27728,0.28101,0.0,0.72272,0.71899,0.36,5
35,edge_0,edge,0.33863,0.3603,0.0,0.66137,0.6397,0.45,5
35,edge_1,edge,0.34164,0.36954,0.0,0.65836,0.63046,0.53,5
35,edge_2,edge,0.35816,0.34703,0.0,0.64184,0.65297,0.61,5
35,edge_3,edge,0.31222,0.37736,0.0,0.68778,0.62264,0.69,5
35,edge_4,edge,0.34097,0.37583,0.0,0.65903,0.62417,0.77,5
35,cloud_0,cloud,0.38014,0.42224,0.0,0.61986,0.57776,0.6,5
36,access_0,access,0.27773,0.29915,0.0,0.72227,0.70085,0.36,5
36,access_1,access,0.29481,0.2859,0.0,0.70519,0.7141,0.36,5
36,edge_0,edge,0.27832,0.33055,0.0,0.72168,0.66945,0.45,5
36,edge_1,edge,0.28157,0.33045,0.0,0.71843,0.66955,0.53,5
36,edge_2,edge,0.29969,0.29404,0.0,0.70031,0.70596,0.61,5
36,edge_3,edge,0.24447,0.33615,0.0,0.75553,0.66385,0.69,5
36,edge_4,edge,0.2594,0.33598,0.0,0.7406,0.66402,0.77,5
36,cloud_0,cloud,0.37852,0.41538,0.0,0.62148,0.58462,0.6,5
37,access_0,access,0.26418,0.28148,0.0,0.73582,0.71852,0.36,5
37,access_1,access,0.2735,0.28246,0.0,0.7265,0.71754,0.36,5
37,edge_0,edge,0.32978,0.34301,0.0,0.67022,0.65699,0.45,5
37,edge_1,edge,0.33823,0.30489,0.0,0.66177,0.69511,0.53,5
37,edge_2,edge,0.30908,0.36071,0.0,0.69092,0.63929,0.61,5
37,edge_3,edge,0.34267,0.34545,0.0,0.65733,0.65455,0.69,5
37,edge_4,edge,0.3319,0.34541,0.0,0.6681,0.65459,0.77,5
37,cloud_0,cloud,0.40842,0.43041,0.0,0.59158,0.56959,0.6,5
38,access_0,access,0.26353,0.29038,0.0,0.73647,0.70962,0.36,5
38,access_1,access,0.28701,0.27465,0.0,0.71299,0.72535,0.36,5
38,edge_0,edge,0.32425,0.35385,0.0,0.67575,0.64615,0.45,5
38,edge_1,edge,0.28449,0.34437,0.0,0.71551,0.65563,0.53,5
38,edge_2,edge,0.26917,0.34312,0.0,0.73083,0.65688,0.61,5
38,edge_3,edge,0.31496,0.35331,0.0,0.68504,0.64669,0.69,5
38,edge_4,edge,0.30465,0.35015,0.0,0.69535,0.64985,0.77,5
38,cloud_0,cloud,0.36432,0.46204,0.0,0.63568,0.53796,0.6,5
39,access_0,access,0.26816,0.28639,0.0,0.73184,0.71361,0.36,5
39,access_1,access,0.26558,0.2778,0.0,0.73442,0.7222,0.36,5
39,edge_0,edge,0.30654,0.38432,0.0,0.69346,0.61568,0.45,5
39,edge_1,edge,0.32414,0.38602,0.0,0.67586,0.61398,0.53,5
39,edge_2,edge,0.35141,0.34842,0.0,0.64859,0.65158,0.61,5
39,edge_3,edge,0.34038,0.39627,0.0,0.65962,0.60373,0.69,5
39,edge_4,edge,0.34154,0.36397,0.0,0.65846,0.63603,0.77,5
39,cloud_0,cloud,0.38971,0.42979,0.0,0.61029,0.57021,0.6,5
40,access_0,access,0.28034,0.29737,0.0,0.71966,0.70263,0.36,5
40,access_1,access,0.26946,0.2747,0.0,0.73054,0.7253,0.36,5
40,edge_0,edge,0.24932,0.30497,0.0,0.75068,0.69503,0.45,5
40,edge_1,edge,0.30787,0.30725,0.0,0.69213,0.69275,0.53,5
40,edge_2,edge,0.28311,0.31305,0.0,0.71689,0.68695,0.61,5
40,edge_3,edge,0.29692,0.33461,0.0,0.70308,0.66539,0.69,5
40,edge_4,edge,0.3061,0.31002,0.0,0.6939,0.68998,0.77,5
40,cloud_0,cloud,0.38879,0.4461,0.0,0.61121,0.5539,0.6,5
41,access_0,access,0.26278,0.28447,0.0,0.73722,0.71553,0.36,5
41,access_1,access,0.28655,0.29438,0.0,0.71345,0.70562,0.36,5
41,edge_0,edge,0.31784,0.349,0.0,0.68216,0.651,0.45,5
41,edge_1,edge,0.30733,0.33259,0.0,0.69267,0.66741,0.53,5
41,edge_2,edge,0.33446,0.32899,0.0,0.66554,0.67101,0.61,5
41,edge_3,edge,0.29864,0.31954,0.0,0.70136,0.68046,0.69,5
41,edge_4,edge,0.33493,0.36832,0.0,0.66507,0.63168,0.77,5
41,cloud_0,cloud,0.41536,0.46364,0.0,0.58464,0.53636,0.6,5
42,access_0,access,0.26189,0.25371,0.0,0.73811,0.74629,0.36,5
42,access_1,access,0.30207,0.29316,0.0,0.69793,0.70684,0.36,5
42,edge_0,edge,0.32377,0.35189,0.0,0.67623,0.64811,0.45,5
42,edge_1,edge,0.32371,0.38232,0.0,0.67629,0.61768,0.53,5
42,edge_2,edge,0.35618,0.33348,0.0,0.64382,0.66652,0.61,5
42,edge_3,edge,0.33702,0.37477,0.0,0.66298,0.62523,0.69,5
42,edge_4,edge,0.33897,0.33687,0.0,0.66103,0.66313,0.77,5
42,cloud_0,cloud,0.39322,0.45746,0.0,0.60678,0.54254,0.6,5
43,access_0,access,0.28817,0.30413,0.0,0.71183,0.69587,0.36,5
43,access_1,access,0.2911,0.28667,0.0,0.7089,0.71333,0.36,5
43,edge_0,edge,0.33825,0.34212,0.0,0.66175,0.65788,0.45,5
