time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,node_id,node_type,cpu_util,mem_util,queue_len,available_cpu,available_mem,request_load_on_node,node_degree
4,normal,-1,0.0,,,-1,-1,edge_1,edge,0.39765,0.47956,0.0,0.60235,0.52044,0.71646,3
4,normal,-1,0.0,,,-1,-1,edge_2,edge,0.40168,0.47531,0.0,0.59832,0.52469,0.71646,4
4,normal,-1,0.0,,,-1,-1,edge_3,edge,0.36567,0.47083,0.0,0.63433,0.52917,0.71646,3
4,normal,-1,0.0,,,-1,-1,edge_4,edge,0.37471,0.46679,0.0,0.62529,0.53321,0.71646,3
4,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38555,0.46743,0.0,0.61445,0.53257,0.55398,3
5,normal,-1,0.0,,,-1,-1,access_0,access,0.20658,0.26214,0.0,0.79342,0.73786,0.3165,2
5,normal,-1,0.0,,,-1,-1,access_1,access,0.23631,0.25715,0.0,0.76369,0.74285,0.3165,2
5,normal,-1,0.0,,,-1,-1,edge_0,edge,0.34552,0.46511,0.0,0.65448,0.53489,0.72015,4
5,normal,-1,0.0,,,-1,-1,edge_1,edge,0.39254,0.44869,0.0,0.60746,0.55131,0.72015,3
5,normal,-1,0.0,,,-1,-1,edge_2,edge,0.41245,0.48902,0.0,0.58755,0.51098,0.72015,4
5,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34771,0.46684,0.0,0.65229,0.53316,0.72015,3
5,normal,-1,0.0,,,-1,-1,edge_4,edge,0.39676,0.46022,0.0,0.60324,0.53978,0.72015,3
5,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.40999,0.47158,0.0,0.59001,0.52842,0.55562,3
6,normal,-1,0.0,,,-1,-1,access_0,access,0.22477,0.26619,0.0,0.77523,0.73381,0.31677,2
6,normal,-1,0.0,,,-1,-1,access_1,access,0.22664,0.25865,0.0,0.77336,0.74135,0.31677,2
6,normal,-1,0.0,,,-1,-1,edge_0,edge,0.3387,0.45615,0.0,0.6613,0.54385,0.72091,4
6,normal,-1,0.0,,,-1,-1,edge_1,edge,0.38056,0.43917,0.0,0.61944,0.56083,0.72091,3
6,normal,-1,0.0,,,-1,-1,edge_2,edge,0.40562,0.46759,0.0,0.59438,0.53241,0.72091,4
6,normal,-1,0.0,,,-1,-1,edge_3,edge,0.33074,0.42896,0.0,0.66926,0.57104,0.72091,3
6,normal,-1,0.0,,,-1,-1,edge_4,edge,0.39882,0.46384,0.0,0.60118,0.53616,0.72091,3
6,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.3973,0.46946,0.0,0.6027,0.53054,0.55596,3
7,normal,-1,0.0,,,-1,-1,access_0,access,0.22552,0.27701,0.0,0.77448,0.72299,0.31597,2
7,normal,-1,0.0,,,-1,-1,access_1,access,0.22184,0.26517,0.0,0.77816,0.73483,0.31597,2
7,normal,-1,0.0,,,-1,-1,edge_0,edge,0.36518,0.47979,0.0,0.63482,0.52021,0.71866,4
7,normal,-1,0.0,,,-1,-1,edge_1,edge,0.40391,0.48689,0.0,0.59609,0.51311,0.71866,3
7,normal,-1,0.0,,,-1,-1,edge_2,edge,0.4129,0.48528,0.0,0.5871,0.51472,0.71866,4
7,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34583,0.43469,0.0,0.65417,0.56531,0.71866,3
7,normal,-1,0.0,,,-1,-1,edge_4,edge,0.40582,0.46154,0.0,0.59418,0.53846,0.71866,3
7,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.40935,0.47866,0.0,0.59065,0.52134,0.55496,3
8,normal,-1,0.0,,,-1,-1,access_0,access,0.22267,0.2566,0.0,0.77733,0.7434,0.31416,2
8,normal,-1,0.0,,,-1,-1,access_1,access,0.23957,0.25466,0.0,0.76043,0.74534,0.31416,2
8,normal,-1,0.0,,,-1,-1,edge_0,edge,0.33394,0.45292,0.0,0.66606,0.54708,0.71359,4
8,normal,-1,0.0,,,-1,-1,edge_1,edge,0.37832,0.4512,0.0,0.62168,0.5488,0.71359,3
8,normal,-1,0.0,,,-1,-1,edge_2,edge,0.43255,0.49337,0.0,0.56745,0.50663,0.71359,4
8,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34592,0.43755,0.0,0.65408,0.56245,0.71359,3
8,normal,-1,0.0,,,-1,-1,edge_4,edge,0.40428,0.47651,0.0,0.59572,0.52349,0.71359,3
8,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.39237,0.46368,0.0,0.60763,0.53632,0.55271,3
9,normal,-1,0.0,,,-1,-1,access_0,access,0.22514,0.25367,0.0,0.77486,0.74633,0.31149,2
9,normal,-1,0.0,,,-1,-1,access_1,access,0.22333,0.25042,0.0,0.77667,0.74958,0.31149,2
9,normal,-1,0.0,,,-1,-1,edge_0,edge,0.36241,0.45169,0.0,0.63759,0.54831,0.70606,4
9,normal,-1,0.0,,,-1,-1,edge_1,edge,0.40079,0.47757,0.0,0.59921,0.52243,0.70606,3
9,normal,-1,0.0,,,-1,-1,edge_2,edge,0.40744,0.47661,0.0,0.59256,0.52339,0.70606,4
9,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35094,0.46377,0.0,0.64906,0.53623,0.70606,3
9,normal,-1,0.0,,,-1,-1,edge_4,edge,0.38569,0.46366,0.0,0.61431,0.53634,0.70606,3
9,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.39388,0.46999,0.0,0.60612,0.53001,0.54936,3
10,normal,-1,0.0,,,-1,-1,access_0,access,0.22366,0.25551,0.0,0.77634,0.74449,0.30814,2
10,normal,-1,0.0,,,-1,-1,access_1,access,0.2198,0.25405,0.0,0.7802,0.74595,0.30814,2
10,normal,-1,0.0,,,-1,-1,edge_0,edge,0.3654,0.4349,0.0,0.6346,0.5651,0.69664,4
10,normal,-1,0.0,,,-1,-1,edge_1,edge,0.37462,0.46994,0.0,0.62538,0.53006,0.69664,3
10,normal,-1,0.0,,,-1,-1,edge_2,edge,0.4343,0.49722,0.0,0.5657,0.50278,0.69664,4
10,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34319,0.44128,0.0,0.65681,0.55872,0.69664,3
10,normal,-1,0.0,,,-1,-1,edge_4,edge,0.37685,0.46484,0.0,0.62315,0.53516,0.69664,3
10,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38262,0.46364,0.0,0.61738,0.53636,0.54517,3
11,normal,-1,0.0,,,-1,-1,access_0,access,0.21396,0.26715,0.0,0.78604,0.73285,0.30436,2
11,normal,-1,0.0,,,-1,-1,access_1,access,0.22171,0.25138,0.0,0.77829,0.74862,0.30436,2
11,normal,-1,0.0,,,-1,-1,edge_0,edge,0.35377,0.43781,0.0,0.64623,0.56219,0.68601,4
11,normal,-1,0.0,,,-1,-1,edge_1,edge,0.38431,0.4554,0.0,0.61569,0.5446,0.68601,3
11,normal,-1,0.0,,,-1,-1,edge_2,edge,0.4124,0.49245,0.0,0.5876,0.50755,0.68601,4
11,normal,-1,0.0,,,-1,-1,edge_3,edge,0.33765,0.456,0.0,0.66235,0.544,0.68601,3
11,normal,-1,0.0,,,-1,-1,edge_4,edge,0.38778,0.49185,0.0,0.61222,0.50815,0.68601,3
11,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.40263,0.47115,0.0,0.59737,0.52885,0.54045,3
12,normal,-1,0.0,,,-1,-1,access_0,access,0.22832,0.26804,0.0,0.77168,0.73196,0.30044,2
12,normal,-1,0.0,,,-1,-1,access_1,access,0.2248,0.23541,0.0,0.7752,0.76459,0.30044,2
12,normal,-1,0.0,,,-1,-1,edge_0,edge,0.30904,0.44008,0.0,0.69096,0.55992,0.67499,4
12,normal,-1,0.0,,,-1,-1,edge_1,edge,0.39439,0.48284,0.0,0.60561,0.51716,0.67499,3
12,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.42528,0.48896,0.0,0.57472,0.51104,0.82599,4
12,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34313,0.43516,0.0,0.65687,0.56484,0.67499,3
12,normal,-1,0.0,,,-1,-1,edge_4,edge,0.36546,0.44338,0.0,0.63454,0.55662,0.67499,3
12,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.3985,0.47197,0.0,0.6015,0.52803,0.53555,3
13,normal,-1,0.0,,,-1,-1,access_0,access,0.22244,0.26074,0.0,0.77756,0.73926,0.29666,2
13,normal,-1,0.0,,,-1,-1,access_1,access,0.20578,0.24855,0.0,0.79422,0.75145,0.29666,2
13,normal,-1,0.0,,,-1,-1,edge_0,edge,0.33583,0.43575,0.0,0.66417,0.56425,0.66436,4
13,normal,-1,0.0,,,-1,-1,edge_1,edge,0.36232,0.4654,0.0,0.63768,0.5346,0.66436,3
13,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.51798,0.55318,4.62455,0.48202,0.44682,0.85906,4
13,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35346,0.44256,0.0,0.64654,0.55744,0.66436,3
13,normal,-1,0.0,,,-1,-1,edge_4,edge,0.37671,0.46236,0.0,0.62329,0.53764,0.66436,3
13,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.36899,0.47184,0.0,0.63101,0.52816,0.53083,3
14,normal,-1,0.0,,,-1,-1,access_0,access,0.2068,0.25531,0.0,0.7932,0.74469,0.29331,2
14,normal,-1,0.0,,,-1,-1,access_1,access,0.22224,0.25296,0.0,0.77776,0.74704,0.29331,2
14,normal,-1,0.0,,,-1,-1,edge_0,edge,0.34005,0.44193,0.0,0.65995,0.55807,0.65494,4
14,normal,-1,0.0,,,-1,-1,edge_1,edge,0.38655,0.45099,0.0,0.61345,0.54901,0.65494,3
14,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.46792,0.49674,2.75736,0.53208,0.50326,0.87949,4
14,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34759,0.43589,0.0,0.65241,0.56411,0.65494,3
14,mixed,20,0.25824,edge_4,edge_4-edge_0,2,1,edge_4,edge,0.4646,0.51741,3.94036,0.5354,0.48259,0.97294,3
14,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.37077,0.45092,0.0,0.62923,0.54908,0.52664,3
15,normal,-1,0.0,,,-1,-1,access_0,access,0.23259,0.25666,0.0,0.76741,0.74334,0.29064,2
15,normal,-1,0.0,,,-1,-1,access_1,access,0.19322,0.25388,0.0,0.80678,0.74612,0.29064,2
15,normal,-1,0.0,,,-1,-1,edge_0,edge,0.32744,0.43133,0.0,0.67256,0.56867,0.64741,4
15,normal,-1,0.0,,,-1,-1,edge_1,edge,0.37659,0.47039,0.0,0.62341,0.52961,0.64741,3
15,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.50255,0.53921,4.77264,0.49745,0.46079,0.87949,4
15,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35321,0.45689,0.0,0.64679,0.54311,0.64741,3
15,mixed,20,0.25824,edge_4,edge_4-edge_0,2,1,edge_4,edge,0.52504,0.51554,9.06174,0.47496,0.48446,1.14615,3
15,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38524,0.46863,0.0,0.61476,0.53137,0.52329,3
16,normal,-1,0.0,,,-1,-1,access_0,access,0.19934,0.24959,0.0,0.80066,0.75041,0.28883,2
16,normal,-1,0.0,,,-1,-1,access_1,access,0.21093,0.24056,0.0,0.78907,0.75944,0.28883,2
16,normal,-1,0.0,,,-1,-1,edge_0,edge,0.35727,0.45279,0.0,0.64273,0.54721,0.64234,4
16,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.53224,0.53133,11.84666,0.46776,0.46867,0.99133,3
16,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.51882,0.50224,5.23392,0.48118,0.49776,0.85906,4
16,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35086,0.45636,0.0,0.64914,0.54364,0.64234,3
16,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.51981,0.511,11.26796,0.48019,0.489,0.99714,3
16,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.37747,0.45215,0.0,0.62253,0.54785,0.52104,3
17,normal,-1,0.0,,,-1,-1,access_0,access,0.22061,0.24993,0.0,0.77939,0.75007,0.28803,2
17,normal,-1,0.0,,,-1,-1,access_1,access,0.22159,0.25154,0.0,0.77841,0.74846,0.28803,2
17,burst,2,0.27767,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.42941,0.52013,0.0,0.57059,0.47987,0.8325,4
17,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.55007,0.53556,12.98789,0.44993,0.46444,1.13015,3
17,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.45214,0.48403,1.42708,0.54786,0.51597,0.82599,4
17,normal,-1,0.0,,,-1,-1,edge_3,edge,0.33999,0.45516,0.0,0.66001,0.54484,0.64009,3
17,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.57683,0.53261,14.48253,0.42317,0.46739,1.13596,3
17,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38371,0.4658,0.0,0.61629,0.5342,0.52004,3
18,normal,-1,0.0,,,-1,-1,access_0,access,0.22946,0.23767,0.0,0.77054,0.76233,0.2883,2
18,normal,-1,0.0,,,-1,-1,access_1,access,0.20847,0.24436,0.0,0.79153,0.75564,0.2883,2
18,burst,2,0.27767,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.41486,0.45191,1.12826,0.58514,0.54809,0.87513,4
18,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.61501,0.59984,17.54945,0.38499,0.40016,1.28085,3
18,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.46557,0.48717,2.05281,0.53443,0.51283,0.79293,4
18,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35522,0.46828,0.0,0.64478,0.53172,0.64085,3
18,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.58418,0.54943,15.86934,0.41582,0.45057,1.28667,3
18,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.36233,0.45771,0.0,0.63767,0.54229,0.52038,3
19,normal,-1,0.0,,,-1,-1,access_0,access,0.21381,0.2449,0.0,0.78619,0.7551,0.28961,2
19,normal,-1,0.0,,,-1,-1,access_1,access,0.22145,0.24334,0.0,0.77855,0.75666,0.28961,2
19,burst,2,0.27767,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.39967,0.47577,0.0,0.60033,0.52423,0.94284,4
19,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.60418,0.59761,18.10875,0.39582,0.40239,1.37866,3
19,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.44163,0.45824,0.0,0.55837,0.54176,0.7725,4
19,normal,-1,0.0,,,-1,-1,edge_3,edge,0.33212,0.42635,0.0,0.66788,0.57365,0.64454,3
19,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.66194,0.597,21.45192,0.33806,0.403,1.38447,3
19,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.37949,0.46145,0.0,0.62051,0.53855,0.52202,3
20,normal,-1,0.0,,,-1,-1,access_0,access,0.20039,0.25131,0.0,0.79961,0.74869,0.29188,2
20,normal,-1,0.0,,,-1,-1,access_1,access,0.21512,0.26345,0.0,0.78488,0.73655,0.29188,2
20,burst,2,0.27767,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.46215,0.50981,2.95286,0.53785,0.49019,1.04511,4
20,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.67187,0.61751,21.80512,0.32813,0.38249,1.36755,3
20,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.49935,0.49805,3.65965,0.50065,0.50195,0.7725,4
20,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34527,0.4303,0.0,0.65473,0.5697,0.6509,3
20,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.64571,0.59831,20.24649,0.35429,0.40169,1.37337,3
20,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.37569,0.45976,0.0,0.62431,0.54024,0.52484,3
21,normal,-1,0.0,,,-1,-1,access_0,access,0.22381,0.2579,0.0,0.77619,0.7421,0.29492,2
21,normal,-1,0.0,,,-1,-1,access_1,access,0.21398,0.26288,0.0,0.78602,0.73712,0.29492,2
21,link_congestion,11,0.28541,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.398,0.4797,0.0,0.602,0.5203,0.82862,4
21,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.60214,0.5563,16.29661,0.39786,0.4437,1.2726,3
21,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.42044,0.4424,0.0,0.57956,0.5576,0.79293,4
21,normal,-1,0.0,,,-1,-1,edge_3,edge,0.36789,0.46322,0.0,0.63211,0.53678,0.65946,3
21,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.61465,0.53894,17.6211,0.38535,0.46106,1.27841,3
21,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.37632,0.4779,0.0,0.62368,0.5221,0.52865,3
22,normal,-1,0.0,,,-1,-1,access_0,access,0.21545,0.25741,0.0,0.78455,0.74259,0.29851,2
22,normal,-1,0.0,,,-1,-1,access_1,access,0.21744,0.24905,0.0,0.78256,0.75095,0.29851,2
22,link_congestion,11,0.28541,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.4181,0.4931,0.98133,0.5819,0.5069,0.85303,4
22,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.60277,0.5293,17.05094,0.39723,0.4707,1.31461,3
22,link_congestion,14,0.2708,edge_2,edge_1-edge_2,2,1,edge_2,edge,0.48552,0.51535,1.99399,0.51448,0.48465,0.82599,4
22,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35858,0.43335,0.0,0.64142,0.56665,0.66957,3
22,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.60519,0.54912,18.56037,0.39481,0.45088,1.32042,3
22,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.40399,0.4452,0.0,0.59601,0.5548,0.53314,3
23,normal,-1,0.0,,,-1,-1,access_0,access,0.22151,0.23627,0.0,0.77849,0.76373,0.3024,2
23,normal,-1,0.0,,,-1,-1,access_1,access,0.21967,0.25134,0.0,0.78033,0.74866,0.3024,2
23,link_congestion,11,0.28541,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.40805,0.44674,0.0,0.59195,0.55326,0.8726,4
23,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.62762,0.58079,17.79685,0.37238,0.41921,1.27709,3
23,normal,-1,0.0,,,-1,-1,edge_2,edge,0.40715,0.48937,0.0,0.59285,0.51063,0.6805,4
23,normal,-1,0.0,,,-1,-1,edge_3,edge,0.36583,0.4565,0.0,0.63417,0.5435,0.6805,3
23,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.62825,0.5751,18.88262,0.37175,0.4249,1.2829,3
23,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.36169,0.45001,0.0,0.63831,0.54999,0.538,3
24,normal,-1,0.0,,,-1,-1,access_0,access,0.21543,0.25062,0.0,0.78457,0.74938,0.3024,2
24,normal,-1,0.0,,,-1,-1,access_1,access,0.21878,0.25226,0.0,0.78122,0.74774,0.3024,2
24,link_congestion,11,0.28541,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.42175,0.4718,0.0,0.57825,0.5282,0.88346,4
24,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.58693,0.56997,14.59473,0.41307,0.43003,1.18045,3
24,normal,-1,0.0,,,-1,-1,edge_2,edge,0.41445,0.50522,0.0,0.58555,0.49478,0.6805,4
24,normal,-1,0.0,,,-1,-1,edge_3,edge,0.36594,0.46932,0.0,0.63406,0.53068,0.6805,3
24,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.59307,0.55909,16.00696,0.40693,0.44091,1.18626,3
24,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.40013,0.47117,0.0,0.59987,0.52883,0.538,3
25,normal,-1,0.0,,,-1,-1,access_0,access,0.20996,0.25621,0.0,0.79004,0.74379,0.30629,2
25,normal,-1,0.0,,,-1,-1,access_1,access,0.23829,0.24418,0.0,0.76171,0.75582,0.30629,2
25,link_congestion,11,0.28541,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.42848,0.47221,0.0,0.57152,0.52779,0.88346,4
25,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.61544,0.5789,17.93699,0.38456,0.4211,1.28169,3
25,normal,-1,0.0,,,-1,-1,edge_2,edge,0.41923,0.47947,0.0,0.58077,0.52053,0.69143,4
25,normal,-1,0.0,,,-1,-1,edge_3,edge,0.36805,0.44448,0.0,0.63195,0.55552,0.69143,3
25,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.63264,0.58854,18.67132,0.36736,0.41146,1.2875,3
25,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38035,0.46486,0.0,0.61965,0.53514,0.54286,3
26,normal,-1,0.0,,,-1,-1,access_0,access,0.20932,0.24694,0.0,0.79068,0.75306,0.30988,2
26,normal,-1,0.0,,,-1,-1,access_1,access,0.22364,0.2542,0.0,0.77636,0.7458,0.30988,2
26,link_congestion,11,0.28541,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.41513,0.50217,0.60146,0.58487,0.49783,0.8726,4
26,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.56876,0.54372,14.00002,0.43124,0.45628,1.26573,3
26,normal,-1,0.0,,,-1,-1,edge_2,edge,0.42098,0.49345,0.0,0.57902,0.50655,0.70154,4
26,normal,-1,0.0,,,-1,-1,edge_3,edge,0.37451,0.47384,0.0,0.62549,0.52616,0.70154,3
26,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.59358,0.58045,17.67101,0.40642,0.41955,1.27155,3
26,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.40401,0.46538,0.0,0.59599,0.53462,0.54735,3
27,normal,-1,0.0,,,-1,-1,access_0,access,0.23016,0.24867,0.0,0.76984,0.75133,0.31292,2
27,normal,-1,0.0,,,-1,-1,access_1,access,0.23679,0.25069,0.0,0.76321,0.74931,0.31292,2
27,link_congestion,11,0.28541,edge_0,edge_0-edge_1,3,2,edge_0,edge,0.4278,0.47376,0.0,0.5722,0.52624,0.85303,4
27,mixed,19,0.36038,edge_1,access_0-edge_1,1,0,edge_1,edge,0.57361,0.57236,13.017,0.42639,0.42764,1.1568,3
27,normal,-1,0.0,,,-1,-1,edge_2,edge,0.39736,0.4752,0.0,0.60264,0.5248,0.7101,4
27,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35582,0.47987,0.0,0.64418,0.52013,0.7101,3
27,mixed,26,0.39268,edge_4,edge_3-edge_4,4,3,edge_4,edge,0.59716,0.58566,15.42724,0.40284,0.41434,1.16262,3
27,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.40693,0.484,0.0,0.59307,0.516,0.55116,3
